kecamatan,nama_taman,luas,type,alamat_lengkap,latitude,longitude,status,query_used,processed_at
ANDIR,TAMAN BABATAN,18307.21,city_park,"Jl. Kuau No.38, Garuda, Kec. Andir, Kota Bandung, Jawa Barat 40184, Indonesia",-6.912088499999999,107.5750425,Success,"TAMAN BABATAN, ANDIR, Bandung, Jawa Barat",2025-06-25 02:51:49
ANDIR,LAPANG ELANG,10306,city_park,"4JC4+M66, Hegarmanah, Cidadap, Bandung City, West Java 40141, Indonesia",-6.878345,107.6055199,Success,"LAPANG ELANG, ANDIR, Bandung, Jawa Barat",2025-06-25 02:51:49
ANDIR,JALUR SUDIRMAN,3158.02,city_park,"Jl. Jend. Sudirman, Kec. Andir, Kota Bandung, Jawa Barat, Indonesia",-6.918034,107.5811561,Success,"JALUR SUDIRMAN, ANDIR, Bandung, Jawa Barat",2025-06-25 02:51:50
ANDIR,JALUR GARUDA TIMUR,2968.13,city_park,"Garuda, Andir, Bandung City, West Java, Indonesia",-6.913103,107.5757741,Success,"JALUR GARUDA TIMUR, ANDIR, Bandung, Jawa Barat",2025-06-25 02:51:50
ANDIR,JALUR GARUDA BARAT,2405,city_park,"Garuda, Andir, Bandung City, West Java, Indonesia",-6.913103,107.5757741,Success,"JALUR GARUDA BARAT, ANDIR, Bandung, Jawa Barat",2025-06-25 02:51:50
ANDIR,TAMAN CIMINDI,1557.21,city_park,"4H36+H65 Taman Hutan Kota Cimindi, Campaka, Andir, Bandung City, West Java, Indonesia",-6.8961095,107.5606102,Success,"TAMAN CIMINDI, ANDIR, Bandung, Jawa Barat",2025-06-25 02:51:51
ANDIR,JALUR ELANG,1395.67,city_park,"Jl. Elang, Kec. Andir, Kota Bandung, Jawa Barat 40184, Indonesia",-6.9155809,107.574974,Success,"JALUR ELANG, ANDIR, Bandung, Jawa Barat",2025-06-25 02:51:51
ANDIR,TAMAN YAPLUN,1184.96,city_park,"Jl. Kuau No.38, Garuda, Kec. Andir, Kota Bandung, Jawa Barat 40184, Indonesia",-6.912088499999999,107.5750425,Success,"TAMAN YAPLUN, ANDIR, Bandung, Jawa Barat",2025-06-25 02:51:52
ANDIR,TPJ SUDIRMAN - RAJAWALI,825.54,city_park,"Jl. Rajawali Barat, Kec. Andir, Kota Bandung, Jawa Barat, Indonesia",-6.9121701,107.5733164,Success,"TPJ SUDIRMAN - RAJAWALI, ANDIR, Bandung, Jawa Barat",2025-06-25 02:51:52
ANDIR,BUNDERAN SUDIRMAN,735,city_park,"3HMF+4P5 Bunderan Sudirman, Cibuntu, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40212, Indonesia",-6.9172336,107.5743601,Success,"BUNDERAN SUDIRMAN, ANDIR, Bandung, Jawa Barat",2025-06-25 02:51:52
ANDIR,TAMAN SUDUT RAJAWALI,666.35,city_park,"Jl. Rajawali Sakti No.6, Dungus Cariang, Kec. Andir, Kota Bandung, Jawa Barat 40183, Indonesia",-6.9135136,107.5802396,Success,"TAMAN SUDUT RAJAWALI, ANDIR, Bandung, Jawa Barat",2025-06-25 02:51:53
ANDIR,TAMAN RAJAWALI/ARJUNA,376,city_park,"Jl. Rajawali Sakti No.6, Dungus Cariang, Kec. Andir, Kota Bandung, Jawa Barat 40183, Indonesia",-6.9135136,107.5802396,Success,"TAMAN RAJAWALI/ARJUNA, ANDIR, Bandung, Jawa Barat",2025-06-25 02:51:53
ANDIR,TAMAN RW. BELAKANG KANTOR,210,city_park,"Jl. Paskal HyperSquare Blok B-6A, Ciroyom, Kec. Andir, Kota Bandung, Jawa Barat 40172, Indonesia",-6.9148627,107.5968236,Success,"TAMAN RW. BELAKANG KANTOR, ANDIR, Bandung, Jawa Barat",2025-06-25 02:51:53
ANDIR,TAMAN WARINGIN,198.1,city_park,"Jl. Kuau No.38, Garuda, Kec. Andir, Kota Bandung, Jawa Barat 40184, Indonesia",-6.912088499999999,107.5750425,Success,"TAMAN WARINGIN, ANDIR, Bandung, Jawa Barat",2025-06-25 02:51:54
ANDIR,BAK BUNGA ANDIR II,180,city_park,"Andir, Bandung City, West Java, Indonesia",-6.9136276,107.5776047,Success,"BAK BUNGA ANDIR II, ANDIR, Bandung, Jawa Barat",2025-06-25 02:51:54
ANDIR,TAMAN RW. 09,130,city_park,"Taman RW 09, Jl. Nilem No.9, Cijagra, Lengkong, Bandung City, West Java 40265, Indonesia",-6.935754600000001,107.6200989,Success,"TAMAN RW. 09, ANDIR, Bandung, Jawa Barat",2025-06-25 02:51:54
ANDIR,TAMAN RW. 04,110,city_park,"Taman RW 04 Tamansari, Jl. Kebon Bibit No.2a, Tamansari, Bandung Wetan, Bandung City, West Java 40116, Indonesia",-6.8979075,107.6087585,Success,"TAMAN RW. 04, ANDIR, Bandung, Jawa Barat",2025-06-25 02:51:55
ANDIR,BAK BUNGA ANDIR I,104.99,city_park,"Jl. Andir, Kec. Andir, Kota Bandung, Jawa Barat, Indonesia",-6.9148043,107.5833851,Success,"BAK BUNGA ANDIR I, ANDIR, Bandung, Jawa Barat",2025-06-25 02:51:55
ANTAPANI,TAMAN BOUGENVILLE,4746,city_park,"Jl. Taman Bougenville, Sukahaji, Kec. Babakan Ciparay, Kota Bandung, Jawa Barat 40221, Indonesia",-6.9339383,107.5814427,Success,"TAMAN BOUGENVILLE, ANTAPANI, Bandung, Jawa Barat",2025-06-25 02:51:55
ANTAPANI,TAMAN BATU TULIS,2614,city_park,"Jl. Batu Tulis, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",-6.920574,107.6587144,Success,"TAMAN BATU TULIS, ANTAPANI, Bandung, Jawa Barat",2025-06-25 02:51:56
ANTAPANI,TAMAN SUBANG BLOK 5,1826,city_park,"Jl. Subang No.5, Antapani Tengah, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",-6.9129689,107.6545848,Success,"TAMAN SUBANG BLOK 5, ANTAPANI, Bandung, Jawa Barat",2025-06-25 02:51:56
ANTAPANI,TAMAN PURWAKARTA-KADIPATEN,1563,city_park,"Jl. Kadipaten Raya, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",-6.9179199,107.6554067,Success,"TAMAN PURWAKARTA-KADIPATEN, ANTAPANI, Bandung, Jawa Barat",2025-06-25 02:51:56
ANTAPANI,TAMAN LARANTUKA,1492,city_park,"Antapani, Bandung City, West Java, Indonesia",-6.913524499999999,107.6594029,Success,"TAMAN LARANTUKA, ANTAPANI, Bandung, Jawa Barat",2025-06-25 02:51:57
ANTAPANI,TAMAN KARANG ASEM,1438,city_park,"Jl. Karang Asem, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",-6.9232246,107.6608294,Success,"TAMAN KARANG ASEM, ANTAPANI, Bandung, Jawa Barat",2025-06-25 02:51:57
ANTAPANI,TAMAN JATIWANGI,1256,city_park,"Jl. Jatiwangi, Antapani Tengah, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",-6.914621,107.6621817,Success,"TAMAN JATIWANGI, ANTAPANI, Bandung, Jawa Barat",2025-06-25 02:51:57
ANTAPANI,TAMAN JAYAPURA,1104,city_park,"Jl. Jayapura, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",-6.9238856,107.6632446,Success,"TAMAN JAYAPURA, ANTAPANI, Bandung, Jawa Barat",2025-06-25 02:51:58
ANTAPANI,TAMAN BATU WANGI-SINDANG KASIH,1098,city_park,"Jl. Batuwangi, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",-6.920574,107.6587144,Success,"TAMAN BATU WANGI-SINDANG KASIH, ANTAPANI, Bandung, Jawa Barat",2025-06-25 02:51:58
ANTAPANI,TAMAN PURWOREJO,1010,city_park,"Jl. Purworejo, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",-6.920141,107.656123,Success,"TAMAN PURWOREJO, ANTAPANI, Bandung, Jawa Barat",2025-06-25 02:51:58
ANTAPANI,TAMAN RENGASDENGLOK,988,city_park,"Jl. R.Dengklok Sel., Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",-6.9192605,107.6620357,Success,"TAMAN RENGASDENGLOK, ANTAPANI, Bandung, Jawa Barat",2025-06-25 02:51:59
ANTAPANI,TAMAN PEKALONGAN,969,city_park,"Jl. Pekalongan, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",-6.9225776,107.6578915,Success,"TAMAN PEKALONGAN, ANTAPANI, Bandung, Jawa Barat",2025-06-25 02:51:59
ANTAPANI,TAMAN JALUR PRATISTA UTAMA,889,city_park,"Jl. Pratista Raya, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",-6.9255089,107.6626111,Success,"TAMAN JALUR PRATISTA UTAMA, ANTAPANI, Bandung, Jawa Barat",2025-06-25 02:51:59
ANTAPANI,TAMAN KADIPATEN-CICALENGKA,887,city_park,"Jl. Cicalengka Raya, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",-6.9198377,107.6579645,Success,"TAMAN KADIPATEN-CICALENGKA, ANTAPANI, Bandung, Jawa Barat",2025-06-25 02:52:00
ANTAPANI,TAMAN ATAMBUA,664,city_park,"Jl. Atambua, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",-6.9241036,107.6608818,Success,"TAMAN ATAMBUA, ANTAPANI, Bandung, Jawa Barat",2025-06-25 02:52:00
ANTAPANI,TAMAN CIKAMPEK,624,city_park,"Jl. Cikampek Raya, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",-6.9163493,107.6570499,Success,"TAMAN CIKAMPEK, ANTAPANI, Bandung, Jawa Barat",2025-06-25 02:52:01
ANTAPANI,TAMAN SRAGEN-KLATEN,489,city_park,"Jl. Sragen, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",-6.9228363,107.6593625,Success,"TAMAN SRAGEN-KLATEN, ANTAPANI, Bandung, Jawa Barat",2025-06-25 02:52:01
ANTAPANI,TAMAN TERUSAN JALAN JAKARTA,343,city_park,"Jl. Terusan Jakarta, Kec. Antapani, Kota Bandung, Jawa Barat, Indonesia",-6.9135784,107.6598421,Success,"TAMAN TERUSAN JALAN JAKARTA, ANTAPANI, Bandung, Jawa Barat",2025-06-25 02:52:01
ANTAPANI,TAMAN KUNINGAN BLOK 20,252,city_park,"Antapani, Bandung City, West Java, Indonesia",-6.913524499999999,107.6594029,Success,"TAMAN KUNINGAN BLOK 20, ANTAPANI, Bandung, Jawa Barat",2025-06-25 02:52:02
ANTAPANI,TAMAN JATIWANGI BLOK 26,237,city_park,"Jl. Jatiwangi No.26, Antapani Tengah, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",-6.914525500000001,107.6617871,Success,"TAMAN JATIWANGI BLOK 26, ANTAPANI, Bandung, Jawa Barat",2025-06-25 02:52:02
ANTAPANI,TAMAN KADIPATEN BLOK 12,237,city_park,"Jl. Kadipaten Raya No.12, Antapani Kidul, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",-6.919435099999999,107.6566549,Success,"TAMAN KADIPATEN BLOK 12, ANTAPANI, Bandung, Jawa Barat",2025-06-25 02:52:02
ANTAPANI,TAMAN PRANAYA 2,170,city_park,"Jl. Komp. Pranaya No.2, Cisaranten Endah, Kec. Arcamanik, Kota Bandung, Jawa Barat 40292, Indonesia",-6.9334263,107.6681895,Success,"TAMAN PRANAYA 2, ANTAPANI, Bandung, Jawa Barat",2025-06-25 02:52:03
