nama,alamat,kecamatan,kelurahan,latitude,longitude,tahun,type,additional_info,source_dataset
MINIMARKET - ANDIR,,ANDIR,,,,2019,shopping_place,"Kategori: 0     MINIMARKET
1     MINIMARKET
2     MINIMARKET
3     MINIMARKET
4     MINIMARKET
         ...    
85          MALL
86          MALL
87          MALL
88          MALL
89          MALL
Name: kategori, Length: 90, dtype: object, Jumlah: 0     20
1     17
2     12
3     19
4     15
      ..
85     4
86     3
87     0
88     4
89     0
Name: jumlah, Length: 90, dtype: int64 0     UNIT
1     UNIT
2     UNIT
3     UNIT
4     UNIT
      ... 
85    UNIT
86    UNIT
87    UNIT
88    UNIT
89    UNIT
Name: satuan, Length: 90, dtype: object",market
MINIMARKET - ANTAPANI,,ANTAPANI,,,,2019,shopping_place,"Kategori: 0     MINIMARKET
1     MINIMARKET
2     MINIMARKET
3     MINIMARKET
4     MINIMARKET
         ...    
85          MALL
86          MALL
87          MALL
88          MALL
89          MALL
Name: kategori, Length: 90, dtype: object, Jumlah: 0     20
1     17
2     12
3     19
4     15
      ..
85     4
86     3
87     0
88     4
89     0
Name: jumlah, Length: 90, dtype: int64 0     UNIT
1     UNIT
2     UNIT
3     UNIT
4     UNIT
      ... 
85    UNIT
86    UNIT
87    UNIT
88    UNIT
89    UNIT
Name: satuan, Length: 90, dtype: object",market
MINIMARKET - ARCAMANIK,,ARCAMANIK,,,,2019,shopping_place,"Kategori: 0     MINIMARKET
1     MINIMARKET
2     MINIMARKET
3     MINIMARKET
4     MINIMARKET
         ...    
85          MALL
86          MALL
87          MALL
88          MALL
89          MALL
Name: kategori, Length: 90, dtype: object, Jumlah: 0     20
1     17
2     12
3     19
4     15
      ..
85     4
86     3
87     0
88     4
89     0
Name: jumlah, Length: 90, dtype: int64 0     UNIT
1     UNIT
2     UNIT
3     UNIT
4     UNIT
      ... 
85    UNIT
86    UNIT
87    UNIT
88    UNIT
89    UNIT
Name: satuan, Length: 90, dtype: object",market
MINIMARKET - ASTANAANYAR,,ASTANAANYAR,,,,2019,shopping_place,"Kategori: 0     MINIMARKET
1     MINIMARKET
2     MINIMARKET
3     MINIMARKET
4     MINIMARKET
         ...    
85          MALL
86          MALL
87          MALL
88          MALL
89          MALL
Name: kategori, Length: 90, dtype: object, Jumlah: 0     20
1     17
2     12
3     19
4     15
      ..
85     4
86     3
87     0
88     4
89     0
Name: jumlah, Length: 90, dtype: int64 0     UNIT
1     UNIT
2     UNIT
3     UNIT
4     UNIT
      ... 
85    UNIT
86    UNIT
87    UNIT
88    UNIT
89    UNIT
Name: satuan, Length: 90, dtype: object",market
MINIMARKET - BABAKAN CIPARAY,,BABAKAN CIPARAY,,,,2019,shopping_place,"Kategori: 0     MINIMARKET
1     MINIMARKET
2     MINIMARKET
3     MINIMARKET
4     MINIMARKET
         ...    
85          MALL
86          MALL
87          MALL
88          MALL
89          MALL
Name: kategori, Length: 90, dtype: object, Jumlah: 0     20
1     17
2     12
3     19
4     15
      ..
85     4
86     3
87     0
88     4
89     0
Name: jumlah, Length: 90, dtype: int64 0     UNIT
1     UNIT
2     UNIT
3     UNIT
4     UNIT
      ... 
85    UNIT
86    UNIT
87    UNIT
88    UNIT
89    UNIT
Name: satuan, Length: 90, dtype: object",market
MINIMARKET - BANDUNG KIDUL,,BANDUNG KIDUL,,,,2019,shopping_place,"Kategori: 0     MINIMARKET
1     MINIMARKET
2     MINIMARKET
3     MINIMARKET
4     MINIMARKET
         ...    
85          MALL
86          MALL
87          MALL
88          MALL
89          MALL
Name: kategori, Length: 90, dtype: object, Jumlah: 0     20
1     17
2     12
3     19
4     15
      ..
85     4
86     3
87     0
88     4
89     0
Name: jumlah, Length: 90, dtype: int64 0     UNIT
1     UNIT
2     UNIT
3     UNIT
4     UNIT
      ... 
85    UNIT
86    UNIT
87    UNIT
88    UNIT
89    UNIT
Name: satuan, Length: 90, dtype: object",market
MINIMARKET - BANDUNG KULON,,BANDUNG KULON,,,,2019,shopping_place,"Kategori: 0     MINIMARKET
1     MINIMARKET
2     MINIMARKET
3     MINIMARKET
4     MINIMARKET
         ...    
85          MALL
86          MALL
87          MALL
88          MALL
89          MALL
Name: kategori, Length: 90, dtype: object, Jumlah: 0     20
1     17
2     12
3     19
4     15
      ..
85     4
86     3
87     0
88     4
89     0
Name: jumlah, Length: 90, dtype: int64 0     UNIT
1     UNIT
2     UNIT
3     UNIT
4     UNIT
      ... 
85    UNIT
86    UNIT
87    UNIT
88    UNIT
89    UNIT
Name: satuan, Length: 90, dtype: object",market
MINIMARKET - BANDUNG WETAN,,BANDUNG WETAN,,,,2019,shopping_place,"Kategori: 0     MINIMARKET
1     MINIMARKET
2     MINIMARKET
3     MINIMARKET
4     MINIMARKET
         ...    
85          MALL
86          MALL
87          MALL
88          MALL
89          MALL
Name: kategori, Length: 90, dtype: object, Jumlah: 0     20
1     17
2     12
3     19
4     15
      ..
85     4
86     3
87     0
88     4
89     0
Name: jumlah, Length: 90, dtype: int64 0     UNIT
1     UNIT
2     UNIT
3     UNIT
4     UNIT
      ... 
85    UNIT
86    UNIT
87    UNIT
88    UNIT
89    UNIT
Name: satuan, Length: 90, dtype: object",market
MINIMARKET - BATUNUNGGAL,,BATUNUNGGAL,,,,2019,shopping_place,"Kategori: 0     MINIMARKET
1     MINIMARKET
2     MINIMARKET
3     MINIMARKET
4     MINIMARKET
         ...    
85          MALL
86          MALL
87          MALL
88          MALL
89          MALL
Name: kategori, Length: 90, dtype: object, Jumlah: 0     20
1     17
2     12
3     19
4     15
      ..
85     4
86     3
87     0
88     4
89     0
Name: jumlah, Length: 90, dtype: int64 0     UNIT
1     UNIT
2     UNIT
3     UNIT
4     UNIT
      ... 
85    UNIT
86    UNIT
87    UNIT
88    UNIT
89    UNIT
Name: satuan, Length: 90, dtype: object",market
MINIMARKET - BOJONGLOA KALER,,BOJONGLOA KALER,,,,2019,shopping_place,"Kategori: 0     MINIMARKET
1     MINIMARKET
2     MINIMARKET
3     MINIMARKET
4     MINIMARKET
         ...    
85          MALL
86          MALL
87          MALL
88          MALL
89          MALL
Name: kategori, Length: 90, dtype: object, Jumlah: 0     20
1     17
2     12
3     19
4     15
      ..
85     4
86     3
87     0
88     4
89     0
Name: jumlah, Length: 90, dtype: int64 0     UNIT
1     UNIT
2     UNIT
3     UNIT
4     UNIT
      ... 
85    UNIT
86    UNIT
87    UNIT
88    UNIT
89    UNIT
Name: satuan, Length: 90, dtype: object",market
