nama,alamat,kecamatan,google_rating,price_range_rupiah,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),jumlah_mall,jumlah_minimarket,jumlah_taman,rating_category,kategori_resto,jumlah_ulasan,mall_per_capita,minimarket_density,taman_per_capita,ulasan_per_capita,competition_density,market_potential,infrastructure_score,retail_accessibility,population_tier,density_tier,review_tier,rating_normalized,high_rating,excellent_rating,high_volume_reviews,very_high_volume_reviews,log_jumlah_ulasan,log_kepadatan,kategori_resto_encoded,price_range_encoded,price_category_interaction,rating_review_interaction,density_infrastructure,success_category,market_attractiveness,business_viability,competition_target
HOLLAND BAKERY UJUNGBERUNG,JL. A.H. NASUTION NO.63,ujung berung,4.6,Rp 50.000 - 100.000,90562.0,6.24,14513.14,3.04841784216546,24.0,9.0,Very High (4.5-5.0),Bakery,253,0.03366111439859389,3.846153846153846,0.09937943066628387,2.7936662176188687,40.544871794871796,392557.4749218452,36.04841784216546,27.04841784216546,Medium,Low,Very Low,0.8999999999999999,1,0,0,0,5.537334267018537,9.582878625650732,0,3,0,25.471737628285265,523175.73492184526,Medium,Low,Low Risk,Avoid
TRADITIONAL DELICIOUS AND HEALTHY FOOD,SUKAGALIH ROAD 200A,ujung berung,4.608695652173912,Rp 50.000 - 100.000,90562.0,6.24,14513.14,3.04841784216546,24.0,9.0,Very High (4.5-5.0),Restaurant,80,0.03366111439859389,3.846153846153846,0.09937943066628387,0.8833727170336344,12.82051282051282,392557.4749218452,36.04841784216546,27.04841784216546,Medium,Low,Very Low,0.902173913043478,1,0,0,0,4.394449154672439,9.582878625650732,8,3,24,20.252678712838193,523175.73492184526,Low,Low,Low Risk,Avoid
SAMBALADO TASTE(DELIVERY MAKANAN HOT(,3PR2+3XX,ujung berung,5.0,Rp 50.000 - 100.000,90562.0,6.24,14513.14,3.04841784216546,24.0,9.0,Very High (4.5-5.0),Local Food,126,0.03366111439859389,3.846153846153846,0.09937943066628387,1.3913120293279744,20.19230769230769,392557.4749218452,36.04841784216546,27.04841784216546,Medium,Low,Very Low,1.0,1,1,0,0,4.844187086458591,9.582878625650732,7,3,21,24.220935432292954,523175.73492184526,Low,Low,Medium Risk,Consider
EMADO'S SHAWARMA UJUNGBERUNG,JL. A.H. NASUTION NO.111,ujung berung,4.4,Rp 50.000 - 100.000,90562.0,6.24,14513.14,3.04841784216546,24.0,9.0,High (4.0-4.5),Restaurant,96,0.03366111439859389,3.846153846153846,0.09937943066628387,1.0600472604403612,15.384615384615383,392557.4749218452,36.04841784216546,27.04841784216546,Medium,Low,Very Low,0.8500000000000001,0,0,0,0,4.574710978503383,9.582878625650732,8,2,16,20.128728305414885,523175.73492184526,Low,Low,Low Risk,Avoid
SWEET HEART II,LLRE MARTADINATA ST NO.140,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,240,0.10437596221590167,5.444126074498567,0.9915716410510659,6.2625577329541,68.76790830945558,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.8999999999999999,1,0,0,0,5.484796933490655,9.303994636053972,8,3,24,25.23006589405701,669828.7999999999,High,Low,Medium Risk,Consider
BAWEAN SWEETHEART BAKERY & RESTO,JL. BAWEAN NO.4,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Bakery,81,0.10437596221590167,5.444126074498567,0.9915716410510659,2.113613234872009,23.209169054441258,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.8999999999999999,1,0,0,0,4.406719247264253,9.303994636053972,0,3,0,20.270908537415565,669828.7999999999,Medium,Low,Medium Risk,Consider
PATALI COFFEE,JL. GANDAPURA NO.61,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Cafe,287,0.10437596221590167,5.444126074498567,0.9915716410510659,7.488975288990945,82.23495702005731,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.925,1,0,0,0,5.662960480135946,9.303994636053972,1,3,3,26.61591425663895,669828.7999999999,High,Low,Medium Risk,Consider
CAPTAIN'S SEAFOOD (KEPITING RASA JENDRAL HARGA CAPTAINS),JL. SOKA NO.15A,sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Seafood,46,0.10437596221590167,5.444126074498567,0.9915716410510659,1.2003235654828694,13.18051575931232,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.875,1,0,0,0,3.8501476017100584,9.303994636053972,9,3,27,17.32566420769526,669828.7999999999,Low,Low,Low Risk,Avoid
RESTORAN PARADISE,JL. GANDAPURA NO.71A,sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,245,0.10437596221590167,5.444126074498567,0.9915716410510659,6.393027685723977,70.20057306590257,252558.4,61.0,23.0,Very Low,Sparse,Very Low,0.875,1,0,0,0,5.5053315359323625,9.303994636053972,8,3,24,24.77399191169563,669828.7999999999,High,Low,Medium Risk,Consider
DAPUR MAMAH RINI,"JL. GUDANG UTARA NO.5/39, RT.001/RW.005",sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,63,0.10437596221590167,5.444126074498567,0.9915716410510659,1.6439214049004516,18.05157593123209,252558.4,61.0,23.0,Very Low,Sparse,Very Low,1.0,1,1,0,0,4.1588830833596715,9.303994636053972,8,3,24,20.79441541679836,669828.7999999999,Low,Low,Medium Risk,Consider
