id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama_rumah_makan,alamat,tahun,kelurahan,kecamatan,latitude,longitude,type
6073,32,JAWA BARAT,3273,KOTA BANDUNG,"ITAKOYAKI, CORNDOG, SOSTEL DAN BOBA",JL. RAJAWALI TIMUR NO.29,2024,Ciroyom,Kabupaten Bandung,-6.9153558,107.5842847,restaurant
6088,32,JAWA BARAT,3273,KOTA BANDUNG,NOAH'S BARN COFFEENERY,JL. GARUDA NO.39,2024,Garuda,Kabupaten Bandung,-6.9161223,107.5765008,restaurant
6099,32,JAWA BARAT,3273,KOTA BANDUNG,VEGETARIAN HOUSE CATERING,JL. PELIKAN NO.39,2024,Garuda,Kabupaten Bandung,-6.9100121,107.574892,restaurant
6102,32,JAWA BARAT,3273,KOTA BANDUNG,KOPI TARAKSA,JL. ELANG NO.01,2024,Garuda,Kabupaten Bandung,-6.9157912,107.5760539,restaurant
6103,32,JAWA BARAT,3273,KOTA BANDUNG,HAP SENG KEE FOOD MARKET,JL. GARUDA NO.29,2024,Garuda,Kabupaten Bandung,-6.9161223,107.5765008,restaurant
6105,32,JAWA BARAT,3273,KOTA BANDUNG,K-DOGG,JL. GARUDA NO.66,2024,Garuda,Kabupaten Bandung,-6.9161223,107.5765008,restaurant
6106,32,JAWA BARAT,3273,KOTA BANDUNG,DAILYBOX KITCHEN HUB BANDUNG,JL. GARUDA NO.66,2024,Garuda,Kabupaten Bandung,-6.9161223,107.5765008,restaurant
6111,32,JAWA BARAT,3273,KOTA BANDUNG,OEUF PATISSIER,JL. GARUDA NO.46,2024,Garuda,Kabupaten Bandung,-6.9161223,107.5765008,restaurant
6112,32,JAWA BARAT,3273,KOTA BANDUNG,KUMISANG.ID,JL. MALEBER UTARA,2024,Campaka,Kabupaten Bandung,-6.9026066,107.5708669,restaurant
6114,32,JAWA BARAT,3273,KOTA BANDUNG,MUCH DESSERTS - KITCHEN HUB GARUDA,JL. GARUDA NO.66,2024,Garuda,Kabupaten Bandung,-6.9161223,107.5765008,restaurant
6124,32,JAWA BARAT,3273,KOTA BANDUNG,JAVACO KOFFIE,JL. KEBON JATI NO.69,2024,Ciroyom,Kabupaten Bandung,-6.9165481,107.5922,restaurant
6128,32,JAWA BARAT,3273,KOTA BANDUNG,HAP SENG KEE CHICKEN RICE,JL. KELENTENG NO.44,2024,Ciroyom,Kabupaten Bandung,-6.9179854,107.5931374,restaurant
6129,32,JAWA BARAT,3273,KOTA BANDUNG,MALA BOWL - PASKAL HYPERSQUARE,ANDIR KEBON JERUK,2024,Kebon Jeruk,Kabupaten Bandung,-6.9151511,107.6020386,restaurant
6133,32,JAWA BARAT,3273,KOTA BANDUNG,RESTORAN DUNIA BARU,JL. GARDUJATI NO.39,2024,Kebon Jeruk,Kabupaten Bandung,-6.9176445,107.598225,restaurant
6140,32,JAWA BARAT,3273,KOTA BANDUNG,BANDUNG STATION,JL. STASIUN BARAT,2024,Kebon Jeruk,Kabupaten Bandung,-6.9147857,107.5990824,restaurant
6144,32,JAWA BARAT,3273,KOTA BANDUNG,KOBE CHINESE & JAPANESE RESTAURANT,JL. GARDUJATI NO.36,2024,Kebon Jeruk,Kabupaten Bandung,-6.9176445,107.598225,restaurant
6158,32,JAWA BARAT,3273,KOTA BANDUNG,PERKEDEL BONDON ASLI,JL. STASIUN TIMUR NO.26,2024,Braga,Kabupaten Bandung,-6.9148273,107.6054757,restaurant
6166,32,JAWA BARAT,3273,KOTA BANDUNG,HOLLAND BAKERY - GARDUJATI,JL. GARDUJATI NO.68,2024,Kebon Jeruk,Kabupaten Bandung,-6.9176445,107.598225,restaurant
6168,32,JAWA BARAT,3273,KOTA BANDUNG,KEDAI EL,JL. KEBON JATI NO.55,2024,Ciroyom,Kabupaten Bandung,-6.9165481,107.5922,restaurant
6171,32,JAWA BARAT,3273,KOTA BANDUNG,MAS GONDRONG SEAFOOD RESTO,JL. KELENTENG NO.22,2024,Ciroyom,Kabupaten Bandung,-6.9179854,107.5931374,restaurant
6174,32,JAWA BARAT,3273,KOTA BANDUNG,D'BAREN WARUNG KOPI,JL. RAJAWALI BARAT NO.31,2024,Maleber,Kabupaten Bandung,-6.9124959,107.5741465,restaurant
6175,32,JAWA BARAT,3273,KOTA BANDUNG,POLA TWININDO CATERING,JL. ELANG NO.37,2024,Maleber,Kabupaten Bandung,-6.9137059,107.5728818,restaurant
6178,32,JAWA BARAT,3273,KOTA BANDUNG,APPEO CAFE - BANDUNG,JL. RAJAWALI BARAT NO.87,2024,Maleber,Kabupaten Bandung,-6.9113203,107.5711425,restaurant
