  id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama_rumah_makan,alamat,tahun,kecamatan,kecamatan_clean,type
9106,32,JAWA BARAT,3273,KOTA BANDUNG,HOLLAND BAKERY UJUNGBERUNG,JL. A.H. NASUTION NO.63,2024,Kecamatan Ujung Berung,Ujung Berung,restaurant
9121,32,JAWA BARAT,3273,KOTA BANDUNG,TRADITIONAL DELICIOUS AND HEALTHY FOOD,SUKAGALIH ROAD 200A,2024,Kecamatan Ujung Berung,Ujung Berung,restaurant
9105,32,JAWA BARAT,3273,KOTA BANDUNG,SAMBALADO TASTE(DELIVERY MAKANAN HOT(,3PR2+3XX,2024,Ujung Berung,Ujung Berung,restaurant
9104,32,JAWA BARAT,3273,KOTA BANDUNG,EMADO'S SHAWARMA UJUNGBERUNG,JL. A.H. NASUTION NO.111,2024,Kecamatan Ujung Berung,Ujung Berung,restaurant
9103,32,JAWA BARAT,3273,KOTA BANDUNG,SWEET HEART II,LLRE MARTADINATA ST NO.140,2024,Kecamatan Sumur Bandung,Sumur Bandung,restaurant
9102,32,JAWA BARAT,3273,KOTA BANDUNG,BAWEAN SWEETHEART BAKERY & RESTO,JL. BAWEAN NO.4,2024,Kecamatan Sumur Bandung,Sumur Bandung,restaurant
9101,32,JAWA BARAT,3273,KOTA BANDUNG,PATALI COFFEE,JL. GANDAPURA NO.61,2024,Kecamatan Sumur Bandung,Sumur Bandung,restaurant
9100,32,JAWA BARAT,3273,KOTA BANDUNG,CAPTAIN'S SEAFOOD (KEPITING RASA JENDRAL HARGA CAPTAINS),JL. SOKA NO.15A,2024,Kecamatan Sumur Bandung,Sumur Bandung,restaurant
9099,32,JAWA BARAT,3273,KOTA BANDUNG,RESTORAN PARADISE,JL. GANDAPURA NO.71A,2024,Kecamatan Sumur Bandung,Sumur Bandung,restaurant
9098,32,JAWA BARAT,3273,KOTA BANDUNG,DAPUR MAMAH RINI,"JL. GUDANG UTARA NO.5/39, RT.001/RW.005",2024,Kecamatan Sumur Bandung,Sumur Bandung,restaurant
9097,32,JAWA BARAT,3273,KOTA BANDUNG,DIMSUM GARAGE_,"3JQ8+4FR, JL. BALI",2024,Kecamatan Sumur Bandung,Sumur Bandung,restaurant
