nama,alamat,kecamatan,kelurahan,latitude,longitude,tahun,type,additional_info,source_dataset
ISTANA BEC,JL. PURNAWARMAN NO. 13-15,Bandung Wetan,Tamansari,-6.9064136285250814,107.60853574494158,2021,tourism_shopping_place,,wisata_belanja
BANDUNG INDAH PLAZA,JL. MERDEKA NO. 56,Bandung Wetan,Citarum,-6.906461662542402,107.6106710441752,2021,tourism_shopping_place,,wisata_belanja
LIVING PLAZA DAGO,JL. IR. H. JUANDA TAMANSARI,Bandung Wetan,Tamansari,-6.899783700383481,107.6115831402815,2021,tourism_shopping_place,,wisata_belanja
BALUBUR TOWN SQUARE,JL. TAMANSARI NO. P-2,Bandung Wetan,Tamansari,-6.897856405196513,107.6093136384184,2021,tourism_shopping_place,,wisata_belanja
BUAH BATU SQUARE,JL. RAYA BOJONGSOANG NO. 321,Bandung Wetan,Cipagalo,-6.966452513855623,107.63804152790944,2021,tourism_shopping_place,,wisata_belanja
MERDEKA ARCADE FACTORY OUTLET,JL. MERDEKA NO. 35,Bandung Wetan,Tamansari,-6.90627142405612,107.61051262087368,2021,tourism_shopping_place,,wisata_belanja
THE SECRET FACTORY OUTLET,JL. L. L. R. E. MARTADINATAÂ  NO. 47,Bandung Wetan,Citarum,-6.904341501026932,107.61460880065005,2021,tourism_shopping_place,,wisata_belanja
ANAKECIL FACTORY OUTLET,JL. HAYAM WURUK NO. 32,Bandung Wetan,Citarum,-6.902041250680221,107.62035941582116,2021,tourism_shopping_place,,wisata_belanja
HERITAGE THE FACTORY OUTLET,JL. L. L. R. E. MARTADINATA NO. 63-65,Bandung Wetan,Citarum,-6.904086411492033,107.61718370032496,2021,tourism_shopping_place,,wisata_belanja
PASSION FACTORY OUTLET,JL. L. L. R. E. MARTADINATA NO. 36,Bandung Wetan,Citarum,-6.905668433280177,107.61664414888116,2021,tourism_shopping_place,,wisata_belanja
THE CROWN PREMIUM OUTLETS,JL. L. L. R. E. MARTADINATA NO. 51,Bandung Wetan,Citarum,-6.90639141247417,107.61504971910932,2021,tourism_shopping_place,,wisata_belanja
