Unnamed: 0,nama,alamat,kecamatan,type,tahun,source_file,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),place_id,google_rating,price_range_rupiah,business_status,processed_at
323,HOLLAND BAKERY UJUNGBERUNG,JL. A.H. NASUTION NO.63,ujung berung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJfxtlEjrdaC4R3xxtPmbBueI,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:22:45
324,TRADITIONAL DELICIOUS AND HEALTHY FOOD,SUKAGALIH ROAD 200A,ujung berung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJM1J8cDjdaC4RNv58sNTKu1g,,,OPERATIONAL,2025-06-28 21:22:46
325,SAMBALADO TASTE(DELIVERY MAKANAN HOT(,3PR2+3XX,ujung berung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ7Y7QZTvdaC4R4CsU9tArxRs,5,,OPERATIONAL,2025-06-28 21:22:47
326,EMADO'S SHAWARMA UJUNGBERUNG,JL. A.H. NASUTION NO.111,ujung berung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJVag4uqvdaC4R_BZWj2vy3t8,4.4,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:22:48
327,SWEET HEART II,LLRE MARTADINATA ST NO.140,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJFbqs5cvnaC4RKqEJlAgj56Q,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:22:50
328,BAWEAN SWEETHEART BAKERY & RESTO,JL. BAWEAN NO.4,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJAVKvVDTmaC4RB2ixxw4B-I4,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:22:50
329,PATALI COFFEE,JL. GANDAPURA NO.61,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ4_qB8CnpaC4RHYET874nIMc,4.7,,OPERATIONAL,2025-06-28 21:22:52
330,CAPTAIN'S SEAFOOD (KEPITING RASA JENDRAL HARGA CAPTAINS),JL. SOKA NO.15A,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJZcH5V87naC4RmgclBH3u76M,4.5,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:22:53
331,RESTORAN PARADISE,JL. GANDAPURA NO.71A,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJzTXT-ADnaC4R7rV6xc5cCks,4.5,,OPERATIONAL,2025-06-28 21:22:54
332,DAPUR MAMAH RINI,"JL. GUDANG UTARA NO.5/39, RT.001/RW.005",sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ6XDknlrnaC4RnIRrJMsaI6M,5,,OPERATIONAL,2025-06-28 21:22:55
333,DIMSUM GARAGE_,"3JQ8+4FR, JL. BALI",sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ_YPYThDnaC4R6on3nm4t63I,5,,OPERATIONAL,2025-06-28 21:22:56
334,KEDAI ASPOM,"3HX7+GPJ, BANDUNG, CAMPAKA, KEC. ANDIR, KOTA BANDUNG, JAWA
  BARAT 40184",andir,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJg-bidgblaC4R9_cK8_ydSJs,5,,OPERATIONAL,2025-06-28 21:22:57
335,NATURAL TASTE,JL. SAPTA MARGA NO.72,andir,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJBynkQ-DlaC4RRoYvvmeWriQ,5,,OPERATIONAL,2025-06-28 21:22:58
336,SOPYANWAHYU,"4H38+J9F, JL. BABAKAN CIANJUR",andir,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJPzZUXZDlaC4Rt8hgrZnmpys,,,CLOSED_TEMPORARILY,2025-06-28 21:22:59
337,WARUNG & CAFE IBU NN,4H28+J98,andir,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,99119.0,4.22,23487.91,ChIJvQvy-WrlaC4Ro8L1zxImQBw,4.5,,OPERATIONAL,2025-06-28 21:23:00
338,EAT ME PLEASE,JL. RAYA CIBEUREUM GG. RH. JEJENG NO.140,andir,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJTTcjg8nlaC4Rq2uBSEQo8Ao,1,,OPERATIONAL,2025-06-28 21:23:01
339,RESTO BAHEULA,"CAMPAKA, KEC. ANDIR, KOTA BANDUNG, JAWA BARAT 40175",andir,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,99119.0,4.22,23487.91,ChIJdexZFB7laC4RaWquXIL5ZtE,1,,OPERATIONAL,2025-06-28 21:23:02
340,PUSAT PANCAKE SEDERHANA DI BANDUNG,"3HV9+PVV, JL. BABAKAN CIBEUREUM",andir,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJHS6-At3laC4RkJCRulDxsQg,,,OPERATIONAL,2025-06-28 21:23:03
341,TOKO PANCAKE COKLAT BANDUNG,JL. BABAKAN CIBEUREUM,andir,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ-eO9O07laC4RUuCd9T8CsgA,,,CLOSED_PERMANENTLY,2025-06-28 21:23:04
342,SOEDIRMAN COFFEE & EATERY BY HEJO,JL. JEND. SUDIRMAN NO.346,andir,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJK25GBGznaC4RgBH8sw8Li2k,4.7,,OPERATIONAL,2025-06-28 21:23:05
343,ROYAL PHO PASKAL 23,"PASKAL HYPER SQUARE, RUKO, JL. PASIR KALIKI NO.18 & 20
  RUKO BLOK N",andir,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJh8xmULTtaC4RivxIkshXyw8,4.8,,OPERATIONAL,2025-06-28 21:23:06
344,BANDUNG COFFEE BEER,JL. CIROYOM BAR. NO.34,andir,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJg-kCZsXnaC4RxfTk3v-8nWI,5,,OPERATIONAL,2025-06-28 21:23:07
345,TERAS HAFID CREW,JL. RAJAWALI TIMUR JL. TARUNA NO.04,andir,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJh4IZ_f_naC4Rl7yQ-QMOrNA,4.8,,OPERATIONAL,2025-06-28 21:23:08
346,GRILLNESIA,"PASKAL HYPER SQUARE, RUKO A, JL. PASIR KALIKI NO.21",andir,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJwTl45g_naC4RNE93o-zkiXc,4.6,,OPERATIONAL,2025-06-28 21:23:09
347,GRILL GARDEN,"PASKAL HYPER SQUARE, JL. PASIR KALIKI NO.23",cicendo,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJwdQ6Y4TnaC4ROij9MA8Vkq8,5,,OPERATIONAL,2025-06-28 21:23:11
348,NASI BAKAR NANBU SOKO BY REYSALSA KITCHEN,JL. GUDANG SELATAN NO.87A,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJGd4f8xXnaC4RGxKvLxSBqP4,4.2,,OPERATIONAL,2025-06-28 21:23:12
349,SATE - GULE - SOTO GUJES,JL. GUDANG SELATAN NO.87,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJH9UzaiDnaC4RTRhi8XcG7ZU,5,,CLOSED_PERMANENTLY,2025-06-28 21:23:13
350,"WAROENG SPESIAL SAMBAL ""SS"" BAWEAN",JL. BAWEAN NO.1,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJweLpmiznaC4RLCrjKCfrCZA,4.2,Rp 15.000 - 50.000,OPERATIONAL,2025-06-28 21:23:14
351,LANEO CAFE & EATERY BANDUNG,JL. JAWA NO.46/48,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJoRPw0sPnaC4Rj6nv4B0q-Nw,4.7,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:23:15
352,BASO SLOWI JL. GUDANG SELATAN,JL. GUDANG SELATAN NO.31,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJsYTRes3naC4ROEEmUTWp01Y,4.7,Rp 15.000 - 50.000,OPERATIONAL,2025-06-28 21:23:16
353,NASI GORENG KRISTIN CHINESE FOOD HALAL,JL. GUDANG SELATAN NO.98,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJMwpKaofnaC4R_vB9Ugd59Yc,3.9,,OPERATIONAL,2025-06-28 21:23:17
