id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bulan,kategori,jumlah,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,RUMAH MAKAN,258854657,RUPIAH,2018
2,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,RUMAH MAKAN,127311354,RUPIAH,2018
3,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,RUMAH MAKAN,210799525,RUPIAH,2018
4,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,RUMAH MAKAN,222296193,RUPIAH,2018
5,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,RUMAH MAKAN,68824110,RUPIAH,2018
6,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,RUMAH MAKAN,78182635,RUPIAH,2018
7,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,RUMAH MAKAN,178780519,RUPIAH,2018
8,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,RUMAH MAKAN,133047488,RUPIAH,2018
9,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,RUMAH MAKAN,172880116,RUPIAH,2018
10,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,RUMAH MAKAN,181886201,RUPIAH,2018
11,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,RUMAH MAKAN,266208947,RUPIAH,2018
12,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,RUMAH MAKAN,203587950,RUPIAH,2018
13,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,RESTORAN,28070016908,RUPIAH,2018
14,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,RESTORAN,24759207600,RUPIAH,2018
15,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,RESTORAN,22403296182,RUPIAH,2018
16,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,RESTORAN,25191092126,RUPIAH,2018
17,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,RESTORAN,24299397186,RUPIAH,2018
18,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,RESTORAN,24320956935,RUPIAH,2018
19,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,RESTORAN,30954265038,RUPIAH,2018
20,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,RESTORAN,26585487220,RUPIAH,2018
21,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,RESTORAN,26487678582,RUPIAH,2018
22,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,RESTORAN,25621026660,RUPIAH,2018
23,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,RESTORAN,25480128896,RUPIAH,2018
24,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,RESTORAN,26633868652,RUPIAH,2018
25,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KATERING,359337399,RUPIAH,2018
26,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KATERING,338350638,RUPIAH,2018
27,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KATERING,665359915,RUPIAH,2018
28,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KATERING,914595827,RUPIAH,2018
29,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,KATERING,1088677098,RUPIAH,2018
30,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,KATERING,520035957,RUPIAH,2018
31,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KATERING,903935006,RUPIAH,2018
32,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,KATERING,1171557418,RUPIAH,2018
33,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,KATERING,982996787,RUPIAH,2018
34,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,KATERING,1103460468,RUPIAH,2018
35,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,KATERING,1224974773,RUPIAH,2018
36,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,KATERING,3179229060,RUPIAH,2018
37,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,RUMAH MAKAN,274828743,RUPIAH,2019
38,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,RUMAH MAKAN,381152552,RUPIAH,2019
39,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,RUMAH MAKAN,277463934,RUPIAH,2019
40,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,RUMAH MAKAN,318380830,RUPIAH,2019
41,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,RUMAH MAKAN,295666543,RUPIAH,2019
42,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,RUMAH MAKAN,377972553,RUPIAH,2019
43,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,RUMAH MAKAN,335417361,RUPIAH,2019
44,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,RUMAH MAKAN,278355337,RUPIAH,2019
45,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,RUMAH MAKAN,293835463,RUPIAH,2019
46,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,RUMAH MAKAN,305494106,RUPIAH,2019
47,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,RUMAH MAKAN,302076213,RUPIAH,2019
48,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,RUMAH MAKAN,301621690,RUPIAH,2019
49,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,RESTORAN,32859890730,RUPIAH,2019
50,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,RESTORAN,26154498799,RUPIAH,2019
51,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,RESTORAN,25231181804,RUPIAH,2019
52,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,RESTORAN,28531380605,RUPIAH,2019
53,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,RESTORAN,28614544212,RUPIAH,2019
54,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,RESTORAN,30650907082,RUPIAH,2019
55,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,RESTORAN,33892234435,RUPIAH,2019
