kecamatan,kategori,jumlah,satuan,tahun,type
ANDIR,MINIMARKET,20,UNIT,2019,shopping_place
ANTAPANI,MINIMARKET,17,UNIT,2019,shopping_place
ARCAMANIK,MINIMARKET,12,UNIT,2019,shopping_place
ASTANAANYAR,MINIMARKET,19,UNIT,2019,shopping_place
BABAKAN CIPARAY,MINIMARKET,15,UNIT,2019,shopping_place
BANDUNG KIDUL,MINIMARKET,8,UNIT,2019,shopping_place
BANDUNG KULON,MINIMARKET,17,UNIT,2019,shopping_place
BANDUNG WETAN,MINIMARKET,8,UNIT,2019,shopping_place
BATUNUNGGAL,MINIMARKET,13,UNIT,2019,shopping_place
BOJONGLOA KALER,MINIMARKET,12,UNIT,2019,shopping_place
BOJONGLOA KIDUL,MINIMARKET,15,UNIT,2019,shopping_place
BUAHBATU,MINIMARKET,29,UNIT,2019,shopping_place
CIBEUNYING KALER,MINIMARKET,32,UNIT,2019,shopping_place
CIBEUNYING KIDUL,MINIMARKET,16,UNIT,2019,shopping_place
CIBIRU,MINIMARKET,6,UNIT,2019,shopping_place
CICENDO,MINIMARKET,26,UNIT,2019,shopping_place
CIDADAP,MINIMARKET,7,UNIT,2019,shopping_place
CINAMBO,MINIMARKET,3,UNIT,2019,shopping_place
COBLONG,MINIMARKET,58,UNIT,2019,shopping_place
GEDEBAGE,MINIMARKET,8,UNIT,2019,shopping_place
KIARACONDONG,MINIMARKET,33,UNIT,2019,shopping_place
LENGKONG,MINIMARKET,39,UNIT,2019,shopping_place
MANDALAJATI,MINIMARKET,15,UNIT,2019,shopping_place
PANYILEUKAN,MINIMARKET,8,UNIT,2019,shopping_place
RANCASARI,MINIMARKET,16,UNIT,2019,shopping_place
REGOL,MINIMARKET,34,UNIT,2019,shopping_place
SUKAJADI,MINIMARKET,27,UNIT,2019,shopping_place
SUKASARI,MINIMARKET,28,UNIT,2019,shopping_place
SUMUR BANDUNG,MINIMARKET,12,UNIT,2019,shopping_place
UJUNG BERUNG,MINIMARKET,22,UNIT,2019,shopping_place
ANDIR,SUPERMARKET,0,UNIT,2019,shopping_place
ANTAPANI,SUPERMARKET,3,UNIT,2019,shopping_place
ARCAMANIK,SUPERMARKET,1,UNIT,2019,shopping_place
ASTANAANYAR,SUPERMARKET,1,UNIT,2019,shopping_place
BABAKAN CIPARAY,SUPERMARKET,1,UNIT,2019,shopping_place
BANDUNG KIDUL,SUPERMARKET,1,UNIT,2019,shopping_place
BANDUNG KULON,SUPERMARKET,2,UNIT,2019,shopping_place
BANDUNG WETAN,SUPERMARKET,0,UNIT,2019,shopping_place
BATUNUNGGAL,SUPERMARKET,3,UNIT,2019,shopping_place
BOJONGLOA KALER,SUPERMARKET,1,UNIT,2019,shopping_place
BOJONGLOA KIDUL,SUPERMARKET,1,UNIT,2019,shopping_place
BUAHBATU,SUPERMARKET,4,UNIT,2019,shopping_place
CIBEUNYING KALER,SUPERMARKET,2,UNIT,2019,shopping_place
CIBEUNYING KIDUL,SUPERMARKET,1,UNIT,2019,shopping_place
CIBIRU,SUPERMARKET,1,UNIT,2019,shopping_place
CICENDO,SUPERMARKET,6,UNIT,2019,shopping_place
CIDADAP,SUPERMARKET,3,UNIT,2019,shopping_place
CINAMBO,SUPERMARKET,0,UNIT,2019,shopping_place
COBLONG,SUPERMARKET,3,UNIT,2019,shopping_place
GEDEBAGE,SUPERMARKET,1,UNIT,2019,shopping_place
KIARACONDONG,SUPERMARKET,2,UNIT,2019,shopping_place
LENGKONG,SUPERMARKET,4,UNIT,2019,shopping_place
MANDALAJATI,SUPERMARKET,1,UNIT,2019,shopping_place
PANYILEUKAN,SUPERMARKET,1,UNIT,2019,shopping_place
RANCASARI,SUPERMARKET,5,UNIT,2019,shopping_place
REGOL,SUPERMARKET,2,UNIT,2019,shopping_place
SUKAJADI,SUPERMARKET,3,UNIT,2019,shopping_place
SUKASARI,SUPERMARKET,0,UNIT,2019,shopping_place
SUMUR BANDUNG,SUPERMARKET,3,UNIT,2019,shopping_place
UJUNG BERUNG,SUPERMARKET,2,UNIT,2019,shopping_place
ANDIR,MALL,0,UNIT,2019,shopping_place
ANTAPANI,MALL,1,UNIT,2019,shopping_place
ARCAMANIK,MALL,0,UNIT,2019,shopping_place
ASTANAANYAR,MALL,0,UNIT,2019,shopping_place
BABAKAN CIPARAY,MALL,1,UNIT,2019,shopping_place
BANDUNG KIDUL,MALL,0,UNIT,2019,shopping_place
BANDUNG KULON,MALL,1,UNIT,2019,shopping_place
BANDUNG WETAN,MALL,6,UNIT,2019,shopping_place
BATUNUNGGAL,MALL,1,UNIT,2019,shopping_place
BOJONGLOA KALER,MALL,0,UNIT,2019,shopping_place
BOJONGLOA KIDUL,MALL,0,UNIT,2019,shopping_place
BUAHBATU,MALL,3,UNIT,2019,shopping_place
CIBEUNYING KALER,MALL,0,UNIT,2019,shopping_place
CIBEUNYING KIDUL,MALL,0,UNIT,2019,shopping_place
CIBIRU,MALL,0,UNIT,2019,shopping_place
CICENDO,MALL,3,UNIT,2019,shopping_place
CIDADAP,MALL,0,UNIT,2019,shopping_place
CINAMBO,MALL,0,UNIT,2019,shopping_place
COBLONG,MALL,1,UNIT,2019,shopping_place
GEDEBAGE,MALL,0,UNIT,2019,shopping_place
KIARACONDONG,MALL,1,UNIT,2019,shopping_place
LENGKONG,MALL,0,UNIT,2019,shopping_place
MANDALAJATI,MALL,0,UNIT,2019,shopping_place
PANYILEUKAN,MALL,0,UNIT,2019,shopping_place
RANCASARI,MALL,0,UNIT,2019,shopping_place
REGOL,MALL,4,UNIT,2019,shopping_place
SUKAJADI,MALL,3,UNIT,2019,shopping_place
SUKASARI,MALL,0,UNIT,2019,shopping_place
SUMUR BANDUNG,MALL,4,UNIT,2019,shopping_place
UJUNG BERUNG,MALL,0,UNIT,2019,shopping_place
