nama,alamat,kecamatan,type,latitude,longitude,tahun,source_file,kecamatan_kepadatan,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²)
CIWALK,JL. CIHAMPELAS NO. 160,Coblong,tourism_shopping,-6.892040010593098,107.60505450446244,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
PARIS VAN JAVA RESORT LIFESTYLE PLACE,JL. SUKAJADI NO. 131-139,Sukasari,tourism_shopping,-6.887284479328349,107.59614923028673,2021,cleaned_objek_wisata_belanja.csv,Sukasari,77576.0,6.36,12197.48
BTC FASHION MALL,JL. DR. DJUNJUNAN NO. 143-149,Sukasari,tourism_shopping,-6.891267778753975,107.58534565200128,2021,cleaned_objek_wisata_belanja.csv,Sukasari,77576.0,6.36,12197.48
ISTANA PLAZA,JL. PASIR KALIKI NO. 121-123,Cicendo,tourism_shopping,-6.903687066118921,107.59703469863425,2021,cleaned_objek_wisata_belanja.csv,Cicendo,96382.0,7.79,12372.53
ISTANA BEC,JL. PURNAWARMAN NO. 13-15,Bandung Wetan,tourism_shopping,-6.9064136285250814,107.60853574494158,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
MALL PASKAL 23 HYPERSQUARE BANDUNG,KEBON JERUK ANDIR,Cicendo,tourism_shopping,-6.913288882344184,107.59438468720332,2021,cleaned_objek_wisata_belanja.csv,Cicendo,96382.0,7.79,12372.53
GRAND YOGYA KEPATIHAN,JL. KEPATIHAN NO. 18,Regol,tourism_shopping,-6.92199155090802,107.60593431871882,2021,cleaned_objek_wisata_belanja.csv,Regol,80609.0,4.74,17006.12
BRAGA CITY WALK,JL. BRAGA NO. 99-101,Sumur Bandung,tourism_shopping,-6.9152060212036295,107.60935141882892,2021,cleaned_objek_wisata_belanja.csv,Sumur Bandung,38323.0,3.49,10980.8
BANDUNG INDAH PLAZA,JL. MERDEKA NO. 56,Bandung Wetan,tourism_shopping,-6.906461662542402,107.6106710441752,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
TRANS STUDIO MALL,JL. GATOT SUBROTO NO. 289,Batununggal,tourism_shopping,-6.923332484599419,107.6365056658089,2021,cleaned_objek_wisata_belanja.csv,Batununggal,121469.0,4.82,25201.04
FESTIVAL CITYLINK,JL. PETA NO. 241,Bojongloa Kaler,tourism_shopping,-6.927961605244426,107.5861900915108,2021,cleaned_objek_wisata_belanja.csv,Bojongloa Kaler,124323.0,3.12,39847.12
TERAS CIHAMPELAS BANDUNG,JL. CIHAMPELAS NO. 162,Coblong,tourism_shopping,-6.893683587976739,107.60420310492128,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
LIVING PLAZA DAGO,JL. IR. H. JUANDA TAMANSARI,Bandung Wetan,tourism_shopping,-6.899783700383481,107.6115831402815,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
CLICK SQUARE,JL. NARIPAN NO. 89,Sumur Bandung,tourism_shopping,-6.919687260878797,107.61601294382884,2021,cleaned_objek_wisata_belanja.csv,Sumur Bandung,38323.0,3.49,10980.8
PLAZA SETRASARI,JL. SURYA SUMANTRI NO. 444,Sukasari,tourism_shopping,-6.880458460110545,107.58230127299392,2021,cleaned_objek_wisata_belanja.csv,Sukasari,77576.0,6.36,12197.48
BALUBUR TOWN SQUARE,JL. TAMANSARI NO. P-2,Bandung Wetan,tourism_shopping,-6.897856405196513,107.6093136384184,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
MIKO MALL KOPO,JL. RAYA KOPO NO. 599,Babakan Ciparay,tourism_shopping,-6.959857000032356,107.5808088664058,2021,cleaned_objek_wisata_belanja.csv,Babakan Ciparay,143651.0,7.07,20318.39
RIAU JUNCTION,JL. L. L. R. E. MARTADINATA,Sumur Bandung,tourism_shopping,-6.906275618025114,107.6122259662744,2021,cleaned_objek_wisata_belanja.csv,Sumur Bandung,38323.0,3.49,10980.8
PASAR BARU TRADE CENTER,JL. OTTO ISKANDAR DINATA NO. 70,Sumur Bandung,tourism_shopping,-6.917337776713038,107.60429321080534,2021,cleaned_objek_wisata_belanja.csv,Sumur Bandung,38323.0,3.49,10980.8
