id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_taman,lokasi,luas,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,TAMAN BABATAN,JL. PASAR BABATAN,18307.21,METER PERSEGI,2017
2,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,LAPANG ELANG,JL. ELANG II,10306,METER PERSEGI,2017
3,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,JALUR SUDIRMAN,JL. SUDIRMAN,3158.02,METER PERSEGI,2017
4,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,JALUR GARUDA TIMUR,JL. GARUDA,2968.13,METER PERSEGI,2017
5,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,JALUR GARUDA BARAT,JL. GARUDA,2405,METER PERSEGI,2017
6,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,TAMAN CIMINDI,JL. CIMINDI,1557.21,METER PERSEGI,2017
7,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,JALUR ELANG,JL. ELANG,1395.67,METER PERSEGI,2017
8,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,TAMAN YAPLUN,JL. YAPLUN,1184.96,METER PERSEGI,2017
9,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,TPJ SUDIRMAN - RAJAWALI,JL. SUDIRMAN,825.54,METER PERSEGI,2017
10,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,BUNDERAN SUDIRMAN,JL. SUDIRMAN,735,METER PERSEGI,2017
11,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,TAMAN SUDUT RAJAWALI,JL. RAJAWALI,666.35,METER PERSEGI,2017
12,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,TAMAN RAJAWALI/ARJUNA,JL. RAJAWALI,376,METER PERSEGI,2017
13,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,TAMAN RW. BELAKANG KANTOR,KEL. MALEBER,210,METER PERSEGI,2017
14,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,TAMAN WARINGIN,JL. WARINGIN,198.1,METER PERSEGI,2017
15,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,BAK BUNGA ANDIR II,JL. GARUDA,180,METER PERSEGI,2017
16,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,TAMAN RW. 09,KEL. KEBUN JERUK,130,METER PERSEGI,2017
17,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,TAMAN RW. 04,KEL. DUNGUCARIANG,110,METER PERSEGI,2017
18,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,BAK BUNGA ANDIR I,JL. GARUDA,104.99,METER PERSEGI,2017
19,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,TAMAN BOUGENVILLE,KOMPLEK PERUMAHAN BOUGENVILLE,4746,METER PERSEGI,2017
20,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,TAMAN BATU TULIS,JL. BATU TULIS,2614,METER PERSEGI,2017
