,nama,alamat,kecamatan,type,tahun,source_file,Jumlah Penduduk,Luas Wilayah,Kepadatan Jiwa
0,CIWALK,JL. CIHAMPELAS NO. 160,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
1,PARIS VAN JAVA RESORT LIFESTYLE PLACE,JL. SUKAJADI NO. 131-139,sukasari,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,77576.0,6.36,12197.48
2,BTC FASHION MALL,JL. DR. DJUNJUNAN NO. 143-149,sukasari,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,77576.0,6.36,12197.48
3,ISTANA PLAZA,JL. PASIR KALIKI NO. 121-123,cicendo,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,96382.0,7.79,12372.53
4,ISTANA BEC,JL. PURNAWARMAN NO. 13-15,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
5,MALL PASKAL 23 HYPERSQUARE BANDUNG,KEBON JERUK ANDIR,cicendo,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,96382.0,7.79,12372.53
6,GRAND YOGYA KEPATIHAN,JL. KEPATIHAN NO. 18,regol,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,80609.0,4.74,17006.12
7,BRAGA CITY WALK,JL. BRAGA NO. 99-101,sumur bandung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,38323.0,3.49,10980.8
8,BANDUNG INDAH PLAZA,JL. MERDEKA NO. 56,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
9,TRANS STUDIO MALL,JL. GATOT SUBROTO NO. 289,batununggal,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,121469.0,4.82,25201.04
10,FESTIVAL CITYLINK,JL. PETA NO. 241,bojongloa kaler,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,124323.0,3.12,39847.12
11,TERAS CIHAMPELAS BANDUNG,JL. CIHAMPELAS NO. 162,coblong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,115273.0,7.31,15769.22
12,LIVING PLAZA DAGO,JL. IR. H. JUANDA TAMANSARI,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
