id,@id,abandoned,abandoned:railway,access,access:roof,addr:city,addr:country,addr:district,addr:full,addr:housename,addr:housenumber,addr:neighbourhood,addr:place,addr:postcode,addr:province,addr:state,addr:street,addr:subdistrict,addr:suburb,addr:unit,addr:village,admin_level,air_conditioning,alt_name,amenity,amenity_1,area,atm,baby_feeding,barrier,bicycle,bicycle_parking,branch,brand,brand:en,brand:id,brand:wikidata,brand:wikipedia,brand:zh,building,building:colour,building:condition,building:floor,building:levels,building:material,building:part,building:roof,building:structure,building:use,building:walls,bus,capacity,capacity:cargo_bike,capacity:disabled,capacity:persons,cash_in,cash_out,cash_withdrawal,changing_table,check_date,compressed_air,contact:facebook,contact:instagram,contact:phone,contact:twitter,contact:whatsapp,contact:youtube,covered,created_by,crossing,cuisine,currency:IDR,currency:rupiah,denomination,description,designation,dispensing,disused:railway,door,drive_through,ele,email,emergency,entrance,facebook,fax,fee,female,fixme,floors,foot,fuel:GTL_diesel,fuel:biodiesel,fuel:diesel,fuel:lpg,fuel:octane_88,fuel:octane_90,fuel:octane_92,fuel:octane_95,fuel:octane_98,fuel:solar,gate:type,government,grades,guest_house,health_amenity:type,healthcare,healthcare:speciality,height,highway,historic,image,incline,indoor,inscription,instagram,insurance:health,int_name,internet_access,internet_access:fee,internet_access:ssid,isced:level,kids_area,landuse,layer,leaf_type,leisure,level,lift_gate:type,lit,locked,male,material,maxheight,maxstay,min_age,mobile,mofa,moped,motor_vehicle,motorcar,motorcycle,museum,name,name:de,name:en,name:hi,name:id,name:it,name:ja,name:ko,name:nl,name:signed,name:su,name:vi,name:zh,natural,network,network:wikidata,noexit,not:brand:wikidata,note,office,official_name,official_name:en,official_name:id,old_name,oneway,opening_hours,opening_hours:covid19,operator,operator:en,operator:id,operator:type,operator:website,operator:wikidata,operator:wikipedia,operator_type,orientation,outdoor_seating,park_ride,parking,parking:orientation,parking_space,payment:cards,payment:cash,payment:coins,payment:contactless,payment:credit_cards,payment:cryptocurrencies,payment:debit_cards,payment:electronic_purses,payment:gpn_debit,payment:maestro,payment:mastercard,payment:notes,payment:visa,payment:visa_debit,payment:visa_electron,phone,place_of_worship,product,public_transport,railway,railway:ref,ref,religion,reservation,roof:colour,roof:material,room,rooms,route_ref,school,school:gender,school:type_idn,security_desk,self_service,service_times,shelter,shop,short_name,smoking,smoothness,source,sport,stars,start_date,supervised,surface,tactile_paving,task,taxi_vehicle,toilets,toilets:access,toilets:wheelchair,tourism,townhall:type,traffic_signals:sound,train,training,type,type:id,url,vehicle,wall,website,wheelchair,wikidata,wikimedia_commons,wikipedia,longitude,latitude
way/27596326,way/27596326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stadium,,,,,,,,,,,,,,,,,Stadion Softball dan Baseball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseball,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/27807705,way/27807705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recreation_ground,,,park,,,,,,,,,,,,,,,,,Taman Prabuwangi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,,,,,
way/32388786,way/32388786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sports_centre,,,,,,,,,,,,,,,,,Tri Lomba Juang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multi,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/32388787,way/32388787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stadium,,,,,,,,,,,,,,,,,GOR Padjajaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basketball,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/32388795,way/32388795,,,,,,,,,,,,,,,,,,,,,,,,bank,,,,,,,,,,,,,,,yes,,,,8,,,concrete,reinforced_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bank Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/87148716,way/87148716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lush and shaded by trees urban city park, build using synthetic grass.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,park,,,yes,,,,,,,,,,,,,,Alun-Alun Bandung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q12471672,Category:Alun-alun Bandung,id:Alun-alun Bandung,,
way/87499888,way/87499888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/87499890,way/87499890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/87499891,way/87499891,,,,,,,,,,,,,,,,,,,,,,,,place_of_worship,,,,,,,,,,,,,,,mosque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Al-Ukhuwah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/95604245,way/95604245,,,yes,,Bandung,,,Jl Ir H Djuanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,Taman Radio,,,,,,,,,,,,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2City_POI_2022,,,,,,,,,,,,,,,,,,,,,,,no,,,,,
