nama,alamat,kecamatan,google_rating,price_range_rupiah,business_status,processed_at,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),jumlah_mall,jumlah_minimarket,jumlah_taman
HOLLAND BAKERY UJUNGBERUNG,JL. A.H. NASUTION NO.63,ujung berung,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:22:45,90562.0,6.24,14513.14,3.0484178421654593,24.0,9.0
TRADITIONAL DELICIOUS AND HEALTHY FOOD,SUKAGALIH ROAD 200A,ujung berung,4.608695652173912,,OPERATIONAL,2025-06-28 21:22:46,90562.0,6.24,14513.14,3.0484178421654593,24.0,9.0
SAMBALADO TASTE(DELIVERY MAKANAN HOT(,3PR2+3XX,ujung berung,5.0,,OPERATIONAL,2025-06-28 21:22:47,90562.0,6.24,14513.14,3.0484178421654593,24.0,9.0
EMADO'S SHAWARMA UJUNGBERUNG,JL. A.H. NASUTION NO.111,ujung berung,4.4,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:22:48,90562.0,6.24,14513.14,3.0484178421654593,24.0,9.0
SWEET HEART II,LLRE MARTADINATA ST NO.140,sumur bandung,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:22:50,38323.0,3.49,10980.8,4.0,19.0,38.0
BAWEAN SWEETHEART BAKERY & RESTO,JL. BAWEAN NO.4,sumur bandung,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:22:50,38323.0,3.49,10980.8,4.0,19.0,38.0
PATALI COFFEE,JL. GANDAPURA NO.61,sumur bandung,4.7,,OPERATIONAL,2025-06-28 21:22:52,38323.0,3.49,10980.8,4.0,19.0,38.0
CAPTAIN'S SEAFOOD (KEPITING RASA JENDRAL HARGA CAPTAINS),JL. SOKA NO.15A,sumur bandung,4.5,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:22:53,38323.0,3.49,10980.8,4.0,19.0,38.0
RESTORAN PARADISE,JL. GANDAPURA NO.71A,sumur bandung,4.5,,OPERATIONAL,2025-06-28 21:22:54,38323.0,3.49,10980.8,4.0,19.0,38.0
DAPUR MAMAH RINI,"JL. GUDANG UTARA NO.5/39, RT.001/RW.005",sumur bandung,5.0,,OPERATIONAL,2025-06-28 21:22:55,38323.0,3.49,10980.8,4.0,19.0,38.0
DIMSUM GARAGE_,"3JQ8+4FR, JL. BALI",sumur bandung,5.0,,OPERATIONAL,2025-06-28 21:22:56,38323.0,3.49,10980.8,4.0,19.0,38.0
KEDAI ASPOM,"3HX7+GPJ, BANDUNG, CAMPAKA, KEC. ANDIR, KOTA BANDUNG, JAWA
  BARAT 40184",andir,5.0,,OPERATIONAL,2025-06-28 21:22:57,99119.0,4.22,23487.91,1.0,20.0,34.0
