nama_tempat,alamat,tahun,latitude,longitude,kelurahan,kecamatan,type
CIWALK,JL. CIHAMPELAS NO. 160,2021,-6.892040010593098,107.60505450446244,Cipaganti,Coblong,tourism_shopping_place
PARIS VAN JAVA RESORT LIFESTYLE PLACE,JL. SUKAJADI NO. 131-139,2021,-6.887284479328349,107.59614923028673,Cipedes,Sukasari,tourism_shopping_place
BTC FASHION MALL,JL. DR. DJUNJUNAN NO. 143-149,2021,-6.891267778753975,107.58534565200128,Sukagalih,Sukasari,tourism_shopping_place
ISTANA PLAZA,JL. PASIR KALIKI NO. 121-123,2021,-6.903687066118921,107.59703469863425,Pamoyanan,Cicendo,tourism_shopping_place
ISTANA BEC,JL. PURNAWARMAN NO. 13-15,2021,-6.9064136285250814,107.60853574494158,Tamansari,Bandung Wetan,tourism_shopping_place
MALL PASKAL 23 HYPERSQUARE BANDUNG,KEBON JERUK ANDIR,2021,-6.913288882344184,107.59438468720332,Arjuna,Cicendo,tourism_shopping_place
GRAND YOGYA KEPATIHAN,JL. KEPATIHAN NO. 18,2021,-6.92199155090802,107.60593431871882,Balonggede,Regol,tourism_shopping_place
BRAGA CITY WALK,JL. BRAGA NO. 99-101,2021,-6.9152060212036295,107.60935141882892,Babakan Ciamis,Sumur Bandung,tourism_shopping_place
BANDUNG INDAH PLAZA,JL. MERDEKA NO. 56,2021,-6.906461662542402,107.6106710441752,Citarum,Bandung Wetan,tourism_shopping_place
TRANS STUDIO MALL,JL. GATOT SUBROTO NO. 289,2021,-6.923332484599419,107.6365056658089,Cibangkong,Batununggal,tourism_shopping_place
FESTIVAL CITYLINK,JL. PETA NO. 241,2021,-6.927961605244426,107.5861900915108,Sukaasih,Bojongloa Kaler,tourism_shopping_place
TERAS CIHAMPELAS BANDUNG,JL. CIHAMPELAS NO. 162,2021,-6.893683587976739,107.60420310492128,Cipaganti,Coblong,tourism_shopping_place
LIVING PLAZA DAGO,JL. IR. H. JUANDA TAMANSARI,2021,-6.899783700383481,107.6115831402815,Tamansari,Bandung Wetan,tourism_shopping_place
CLICK SQUARE,JL. NARIPAN NO. 89,2021,-6.919687260878797,107.61601294382884,Kebon Pisang,Sumur Bandung,tourism_shopping_place
PLAZA SETRASARI,JL. SURYA SUMANTRI NO. 444,2021,-6.880458460110545,107.58230127299392,Sukagalih,Sukasari,tourism_shopping_place
BALUBUR TOWN SQUARE,JL. TAMANSARI NO. P-2,2021,-6.897856405196513,107.6093136384184,Tamansari,Bandung Wetan,tourism_shopping_place
MIKO MALL KOPO,JL. RAYA KOPO NO. 599,2021,-6.959857000032356,107.5808088664058,Margasuka,Babakan Ciparay,tourism_shopping_place
RIAU JUNCTION,JL. L. L. R. E. MARTADINATA,2021,-6.906275618025114,107.6122259662744,Merdeka,Sumur Bandung,tourism_shopping_place
PASAR BARU TRADE CENTER,JL. OTTO ISKANDAR DINATA NO. 70,2021,-6.917337776713038,107.60429321080534,Braga,Sumur Bandung,tourism_shopping_place
BTM BANDUNG TRADE MALL,JL IBRAHIM ADJIE NO. 47,2021,-6.911264675617622,107.64430607988103,Kebonwaru,Batununggal,tourism_shopping_place
PARAHYANGAN PLAZA,JL. DALEM KAUM NO. 54,2021,-6.9214530590347865,107.60623949107055,Balonggede,Regol,tourism_shopping_place
THE KINGS SHOPPING CENTRE,JL. KEPATIHAN NO. 11-17,2021,-6.922012047145163,107.60515513613716,Balonggede,Regol,tourism_shopping_place
