kecamatan,nama_taman,luas,type
ANDIR,TAMAN BABATAN,18307.21,city_park
ANDIR,LAPANG ELANG,10306,city_park
ANDIR,JALUR SUDIRMAN,3158.02,city_park
ANDIR,JALUR GARUDA TIMUR,2968.13,city_park
ANDIR,JALUR GARUDA BARAT,2405,city_park
ANDIR,TAMAN CIMINDI,1557.21,city_park
ANDIR,JALUR ELANG,1395.67,city_park
ANDIR,TAMAN YAPLUN,1184.96,city_park
ANDIR,TPJ SUDIRMAN - RAJAWALI,825.54,city_park
ANDIR,BUNDERAN SUDIRMAN,735,city_park
ANDIR,TAMAN SUDUT RAJAWALI,666.35,city_park
ANDIR,TAMAN RAJAWALI/ARJUNA,376,city_park
ANDIR,TAMAN RW. BELAKANG KANTOR,210,city_park
ANDIR,TAMAN WARINGIN,198.1,city_park
ANDIR,BAK BUNGA ANDIR II,180,city_park
ANDIR,TAMAN RW. 09,130,city_park
ANDIR,TAMAN RW. 04,110,city_park
ANDIR,BAK BUNGA ANDIR I,104.99,city_park
ANTAPANI,TAMAN BOUGENVILLE,4746,city_park
ANTAPANI,TAMAN BATU TULIS,2614,city_park
ANTAPANI,TAMAN SUBANG BLOK 5,1826,city_park
ANTAPANI,TAMAN PURWAKARTA-KADIPATEN,1563,city_park
ANTAPANI,TAMAN LARANTUKA,1492,city_park
ANTAPANI,TAMAN KARANG ASEM,1438,city_park
ANTAPANI,TAMAN JATIWANGI,1256,city_park
ANTAPANI,TAMAN JAYAPURA,1104,city_park
ANTAPANI,TAMAN BATU WANGI-SINDANG KASIH,1098,city_park
ANTAPANI,TAMAN PURWOREJO,1010,city_park
ANTAPANI,TAMAN RENGASDENGLOK,988,city_park
ANTAPANI,TAMAN PEKALONGAN,969,city_park
ANTAPANI,TAMAN JALUR PRATISTA UTAMA,889,city_park
ANTAPANI,TAMAN KADIPATEN-CICALENGKA,887,city_park
ANTAPANI,TAMAN ATAMBUA,664,city_park
ANTAPANI,TAMAN CIKAMPEK,624,city_park
ANTAPANI,TAMAN SRAGEN-KLATEN,489,city_park
ANTAPANI,TAMAN TERUSAN JALAN JAKARTA,343,city_park
ANTAPANI,TAMAN KUNINGAN BLOK 20,252,city_park
ANTAPANI,TAMAN JATIWANGI BLOK 26,237,city_park
ANTAPANI,TAMAN KADIPATEN BLOK 12,237,city_park
ANTAPANI,TAMAN PRANAYA 2,170,city_park
ANTAPANI,TAMAN PRATISTA BARAT II,113,city_park
ANTAPANI,TAMAN BLOK D-39,104.32,city_park
ANTAPANI,TAMAN PRANAYA 1,89,city_park
ANTAPANI,TAMAN PRATISTA BARAT I,51,city_park
ANTAPANI,TAMAN GERBANG PRANAYA,49.23,city_park
ANTAPANI,TAMAN PRATISTA RAYA,34.89,city_park
ARCAMANIK,TAMAN LAPANGAN PACUAN KUDA,665000,city_park
ARCAMANIK,TAMAN SKI AIR,7139.78,city_park
ARCAMANIK,TAMAN TERBANG LAYANG I,1338,city_park
