nama,alamat,kecamatan,google_rating,price_range_rupiah,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),jumlah_mall,jumlah_minimarket,jumlah_taman,rating_category
HOLLAND BAKERY UJUNGBERUNG,JL. A.H. NASUTION NO.63,ujung berung,4.6,Rp 50.000 - 100.000,90562.0,6.24,14513.14,3.0484178421654597,24.0,9.0,Very High (4.5-5.0)
TRADITIONAL DELICIOUS AND HEALTHY FOOD,SUKAGALIH ROAD 200A,ujung berung,4.608695652173912,Rp 50.000 - 100.000,90562.0,6.24,14513.14,3.0484178421654597,24.0,9.0,Very High (4.5-5.0)
SAMBALADO TASTE(DELIVERY MAKANAN HOT(,3PR2+3XX,ujung berung,5.0,Rp 50.000 - 100.000,90562.0,6.24,14513.14,3.0484178421654597,24.0,9.0,Very High (4.5-5.0)
EMADO'S SHAWARMA UJUNGBERUNG,JL. A.H. NASUTION NO.111,ujung berung,4.4,Rp 50.000 - 100.000,90562.0,6.24,14513.14,3.0484178421654597,24.0,9.0,High (4.0-4.5)
SWEET HEART II,LLRE MARTADINATA ST NO.140,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
BAWEAN SWEETHEART BAKERY & RESTO,JL. BAWEAN NO.4,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
PATALI COFFEE,JL. GANDAPURA NO.61,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
CAPTAIN'S SEAFOOD (KEPITING RASA JENDRAL HARGA CAPTAINS),JL. SOKA NO.15A,sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
RESTORAN PARADISE,JL. GANDAPURA NO.71A,sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
DAPUR MAMAH RINI,"JL. GUDANG UTARA NO.5/39, RT.001/RW.005",sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
DIMSUM GARAGE_,"3JQ8+4FR, JL. BALI",sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
KEDAI ASPOM,"3HX7+GPJ, BANDUNG, CAMPAKA, KEC. ANDIR, KOTA BANDUNG, JAWA
  BARAT 40184",andir,5.0,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0)
NATURAL TASTE,JL. SAPTA MARGA NO.72,andir,5.0,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0)
SOPYANWAHYU,"4H38+J9F, JL. BABAKAN CIANJUR",andir,4.481714285714285,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,High (4.0-4.5)
WARUNG & CAFE IBU NN,4H28+J98,andir,4.5,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,High (4.0-4.5)
EAT ME PLEASE,JL. RAYA CIBEUREUM GG. RH. JEJENG NO.140,andir,1.0,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Low (≤3.5)
RESTO BAHEULA,"CAMPAKA, KEC. ANDIR, KOTA BANDUNG, JAWA BARAT 40175",andir,1.0,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Low (≤3.5)
PUSAT PANCAKE SEDERHANA DI BANDUNG,"3HV9+PVV, JL. BABAKAN CIBEUREUM",andir,4.481714285714285,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,High (4.0-4.5)
TOKO PANCAKE COKLAT BANDUNG,JL. BABAKAN CIBEUREUM,andir,4.481714285714285,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,High (4.0-4.5)
SOEDIRMAN COFFEE & EATERY BY HEJO,JL. JEND. SUDIRMAN NO.346,andir,4.7,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0)
ROYAL PHO PASKAL 23,"PASKAL HYPER SQUARE, RUKO, JL. PASIR KALIKI NO.18 & 20
  RUKO BLOK N",andir,4.8,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0)
BANDUNG COFFEE BEER,JL. CIROYOM BAR. NO.34,andir,5.0,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0)
TERAS HAFID CREW,JL. RAJAWALI TIMUR JL. TARUNA NO.04,andir,4.8,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0)
GRILLNESIA,"PASKAL HYPER SQUARE, RUKO A, JL. PASIR KALIKI NO.21",andir,4.6,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0)
GRILL GARDEN,"PASKAL HYPER SQUARE, JL. PASIR KALIKI NO.23",cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0)
NASI BAKAR NANBU SOKO BY REYSALSA KITCHEN,JL. GUDANG SELATAN NO.87A,sumur bandung,4.2,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
SATE - GULE - SOTO GUJES,JL. GUDANG SELATAN NO.87,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
"WAROENG SPESIAL SAMBAL ""SS"" BAWEAN",JL. BAWEAN NO.1,sumur bandung,4.2,Rp 15.000 - 50.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
LANEO CAFE & EATERY BANDUNG,JL. JAWA NO.46/48,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
BASO SLOWI JL. GUDANG SELATAN,JL. GUDANG SELATAN NO.31,sumur bandung,4.7,Rp 15.000 - 50.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
NASI GORENG KRISTIN CHINESE FOOD HALAL,JL. GUDANG SELATAN NO.98,sumur bandung,3.9,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Medium (3.5-4.0)
WARUNG BAROKAH,JL. SUMBAWA NO.8,sumur bandung,4.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Medium (3.5-4.0)
BASO TAHU & SIOMAY BAROKAH PAK ROJI,"3JP8+7XQ, JL. BALI",sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
WARUNG NASI HIQMAH,JL. BALI NO.2,sumur bandung,3.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Medium (3.5-4.0)
SOTO MIE BOGOR SADULUR LANANG,JL. GUDANG SELATAN NO.22,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
WARUNG MBAK YATI,JL. BANGKA,sumur bandung,4.4,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
"SOTO KUDUS,GARANG ASEM,MANGUT BAROKAH",JL. GUDANG UTARA NO.1,sumur bandung,4.3,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
SATE PADANG TUAH SAKATO (TAMAN MUSIK),JL. BELITUNG NO.10,sumur bandung,4.4,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5)
RUMAH MAKAN SOTO BALI,JL. BALI NO.2,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
SATE MAS DADEUNG,JL. RAKATA NO.79,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0)
RUMAH MAKAN ANIQ,JL. JAWA NO.38,sumur bandung,3.9,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Medium (3.5-4.0)
BRUULE BANDUNG,JL. PATRAKOMALA NO.31,sumur bandung,3.9,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Medium (3.5-4.0)
