nama,alamat,kecamatan,google_rating,price_range_rupiah,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),jumlah_mall,jumlah_minimarket,jumlah_taman,rating_category,kategori_resto,jumlah_ulasan,kategori_resto_encoded,price_range_encoded,dataset_version,training_date
HOLLAND BAKERY UJUNGBERUNG,JL. A.H. NASUTION NO.63,ujung berung,4.6,Rp 50.000 - 100.000,90562.0,6.24,14513.14,3.04841784216546,24.0,9.0,Very High (4.5-5.0),Bakery,253,0,2.0,enriched_v1.0,2025-07-09
TRADITIONAL DELICIOUS AND HEALTHY FOOD,SUKAGALIH ROAD 200A,ujung berung,4.608695652173912,Rp 50.000 - 100.000,90562.0,6.24,14513.14,3.04841784216546,24.0,9.0,Very High (4.5-5.0),Restaurant,80,8,2.0,enriched_v1.0,2025-07-09
SAMBALADO TASTE(DELIVERY MAKANAN HOT(,3PR2+3XX,ujung berung,5.0,Rp 50.000 - 100.000,90562.0,6.24,14513.14,3.04841784216546,24.0,9.0,Very High (4.5-5.0),Local Food,126,7,2.0,enriched_v1.0,2025-07-09
EMADO'S SHAWARMA UJUNGBERUNG,JL. A.H. NASUTION NO.111,ujung berung,4.4,Rp 50.000 - 100.000,90562.0,6.24,14513.14,3.04841784216546,24.0,9.0,High (4.0-4.5),Restaurant,96,8,2.0,enriched_v1.0,2025-07-09
SWEET HEART II,LLRE MARTADINATA ST NO.140,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,240,8,2.0,enriched_v1.0,2025-07-09
BAWEAN SWEETHEART BAKERY & RESTO,JL. BAWEAN NO.4,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Bakery,81,0,2.0,enriched_v1.0,2025-07-09
PATALI COFFEE,JL. GANDAPURA NO.61,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Cafe,287,1,2.0,enriched_v1.0,2025-07-09
CAPTAIN'S SEAFOOD (KEPITING RASA JENDRAL HARGA CAPTAINS),JL. SOKA NO.15A,sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Seafood,46,9,2.0,enriched_v1.0,2025-07-09
RESTORAN PARADISE,JL. GANDAPURA NO.71A,sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,245,8,2.0,enriched_v1.0,2025-07-09
DAPUR MAMAH RINI,"JL. GUDANG UTARA NO.5/39, RT.001/RW.005",sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,63,8,2.0,enriched_v1.0,2025-07-09
DIMSUM GARAGE_,"3JQ8+4FR, JL. BALI",sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Chinese Food,19,2,2.0,enriched_v1.0,2025-07-09
KEDAI ASPOM,"3HX7+GPJ, BANDUNG, CAMPAKA, KEC. ANDIR, KOTA BANDUNG, JAWA
  BARAT 40184",andir,5.0,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0),Restaurant,65,8,2.0,enriched_v1.0,2025-07-09
NATURAL TASTE,JL. SAPTA MARGA NO.72,andir,5.0,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0),Restaurant,144,8,2.0,enriched_v1.0,2025-07-09
SOPYANWAHYU,"4H38+J9F, JL. BABAKAN CIANJUR",andir,4.481714285714285,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,High (4.0-4.5),Restaurant,2500,8,2.0,enriched_v1.0,2025-07-09
WARUNG & CAFE IBU NN,4H28+J98,andir,4.5,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,High (4.0-4.5),Cafe,232,1,2.0,enriched_v1.0,2025-07-09
EAT ME PLEASE,JL. RAYA CIBEUREUM GG. RH. JEJENG NO.140,andir,1.0,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Low (≤3.5),Restaurant,105,8,2.0,enriched_v1.0,2025-07-09
RESTO BAHEULA,"CAMPAKA, KEC. ANDIR, KOTA BANDUNG, JAWA BARAT 40175",andir,1.0,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Low (≤3.5),Restaurant,669,8,2.0,enriched_v1.0,2025-07-09
PUSAT PANCAKE SEDERHANA DI BANDUNG,"3HV9+PVV, JL. BABAKAN CIBEUREUM",andir,4.481714285714285,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,High (4.0-4.5),Bakery,350,0,2.0,enriched_v1.0,2025-07-09
TOKO PANCAKE COKLAT BANDUNG,JL. BABAKAN CIBEUREUM,andir,4.481714285714285,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,High (4.0-4.5),Bakery,504,0,2.0,enriched_v1.0,2025-07-09
SOEDIRMAN COFFEE & EATERY BY HEJO,JL. JEND. SUDIRMAN NO.346,andir,4.7,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0),Cafe,32,1,2.0,enriched_v1.0,2025-07-09
ROYAL PHO PASKAL 23,"PASKAL HYPER SQUARE, RUKO, JL. PASIR KALIKI NO.18 & 20
  RUKO BLOK N",andir,4.8,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0),Restaurant,153,8,2.0,enriched_v1.0,2025-07-09
BANDUNG COFFEE BEER,JL. CIROYOM BAR. NO.34,andir,5.0,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0),Cafe,8,1,2.0,enriched_v1.0,2025-07-09
TERAS HAFID CREW,JL. RAJAWALI TIMUR JL. TARUNA NO.04,andir,4.8,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0),Restaurant,52,8,2.0,enriched_v1.0,2025-07-09
GRILLNESIA,"PASKAL HYPER SQUARE, RUKO A, JL. PASIR KALIKI NO.21",andir,4.6,Rp 50.000 - 100.000,99119.0,4.22,23487.91,1.0,20.0,34.0,Very High (4.5-5.0),Western Food,565,10,2.0,enriched_v1.0,2025-07-09
GRILL GARDEN,"PASKAL HYPER SQUARE, JL. PASIR KALIKI NO.23",cicendo,5.0,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,Very High (4.5-5.0),Western Food,176,10,2.0,enriched_v1.0,2025-07-09
