nama,alamat,kecamatan,type,Jumlah Penduduk,Luas Wilayah,Kepadatan Jiwa
CIWALK,JL. CIHAMPELAS NO. 160,Coblong,tourism_shopping,115273.0,7.31,15769.22
PARIS VAN JAVA RESORT LIFESTYLE PLACE,JL. SUKAJADI NO. 131-139,Sukasari,tourism_shopping,77576.0,6.36,12197.48
BTC FASHION MALL,JL. DR. DJUNJUNAN NO. 143-149,Sukasari,tourism_shopping,77576.0,6.36,12197.48
ISTANA PLAZA,JL. PASIR KALIKI NO. 121-123,Cicendo,tourism_shopping,96382.0,7.79,12372.53
ISTANA BEC,JL. PURNAWARMAN NO. 13-15,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
MALL PASKAL 23 HYPERSQUARE BANDUNG,KEBON JERUK ANDIR,Cicendo,tourism_shopping,96382.0,7.79,12372.53
GRAND YOGYA KEPATIHAN,JL. KEPATIHAN NO. 18,Regol,tourism_shopping,80609.0,4.74,17006.12
BRAGA CITY WALK,JL. BRAGA NO. 99-101,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
BANDUNG INDAH PLAZA,JL. MERDEKA NO. 56,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
TRANS STUDIO MALL,JL. GATOT SUBROTO NO. 289,Batununggal,tourism_shopping,121469.0,4.82,25201.04
FESTIVAL CITYLINK,JL. PETA NO. 241,Bojongloa Kaler,tourism_shopping,124323.0,3.12,39847.12
TERAS CIHAMPELAS BANDUNG,JL. CIHAMPELAS NO. 162,Coblong,tourism_shopping,115273.0,7.31,15769.22
LIVING PLAZA DAGO,JL. IR. H. JUANDA TAMANSARI,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
CLICK SQUARE,JL. NARIPAN NO. 89,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
PLAZA SETRASARI,JL. SURYA SUMANTRI NO. 444,Sukasari,tourism_shopping,77576.0,6.36,12197.48
BALUBUR TOWN SQUARE,JL. TAMANSARI NO. P-2,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
MIKO MALL KOPO,JL. RAYA KOPO NO. 599,Babakan Ciparay,tourism_shopping,143651.0,7.07,20318.39
RIAU JUNCTION,JL. L. L. R. E. MARTADINATA,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
PASAR BARU TRADE CENTER,JL. OTTO ISKANDAR DINATA NO. 70,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
BTM BANDUNG TRADE MALL,JL IBRAHIM ADJIE NO. 47,Batununggal,tourism_shopping,121469.0,4.82,25201.04
PARAHYANGAN PLAZA,JL. DALEM KAUM NO. 54,Regol,tourism_shopping,80609.0,4.74,17006.12
THE KINGS SHOPPING CENTRE,JL. KEPATIHAN NO. 11-17,Regol,tourism_shopping,80609.0,4.74,17006.12
LUCKY SQUARE MALL,JL. TERUSAN JAKARTA NO. 2,Kiaracondong,tourism_shopping,131413.0,5.8,22657.41
PISET SQUARE,JL. PELAJAR PEJUANG 45 NO. 119,Lengkong,tourism_shopping,71000.0,5.91,12013.54
MD PLAZA,JL. OTTO ISKANDAR DINATA,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
YOGYA JUNCTION,JL. SUMATERA,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
UJUNG BERUNG TOWN SQUARE,JL. A. H. NASUTION NO. 46A,Cinambo,tourism_shopping,25585.0,4.25,6020.0
METRO TRADE CENTER,SEKEJATI BUAH BATU,Buahbatu,tourism_shopping,104434.0,7.46,13999.2
METRO INDAH MALL,JL. SOEKARNO HATTA JL. MTC BARAT NO. 590,Buahbatu,tourism_shopping,104434.0,7.46,13999.2
JAYA PLAZA,JL. JEND. AHMAD YANI NO. 238,Batununggal,tourism_shopping,121469.0,4.82,25201.04
THE PLAZA IBCC,JL. JEND AHMAD YANI NO. 296,Batununggal,tourism_shopping,121469.0,4.82,25201.04
ITC KEBON KELAPA,JL. MOH. TOHA JL. PUNGKUR,Batununggal,tourism_shopping,121469.0,4.82,25201.04
RAJAWALI PLAZA,JL. RAJAWALI TIMUR NO. 27,Andir,tourism_shopping,99119.0,4.22,23487.91
BUAH BATU SQUARE,JL. RAYA BOJONGSOANG NO. 321,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
RAMAYANA,JL. ASTANA ANYAR NO. 186,Astanaanyar,tourism_shopping,73232.0,2.68,27325.37
YOGYA SUNDA,JL. SUNDA NO. 60,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
RUMAH MODE FACTORY OUTLET,JL. DR. SETIABUDI NO. 41,Cidadap,tourism_shopping,54680.0,8.42,6494.06
BLOSSOM,JL. IR. H. JUANDA NO. 112,Coblong,tourism_shopping,115273.0,7.31,15769.22
MERDEKA ARCADE FACTORY OUTLET,JL. MERDEKA NO. 35,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
MORNING DEW FACTORY OUTLET,JL. IR. H. JUANDA NO. 81,Coblong,tourism_shopping,115273.0,7.31,15769.22
PABERIK BADJOE FACTORY OUTLET,JL. SOEKARNO HATTA NO. 573,Batununggal,tourism_shopping,121469.0,4.82,25201.04
BANDARBAJU.COM PUSAT BISNIS BAJU MURAH BANDUNG,JL. ANGKASA MEKAR NO. 88,Babakan Ciparay,tourism_shopping,143651.0,7.07,20318.39
FACTORY OUTLET STORE,JL. DR. SETIABUDI 73,Cidadap,tourism_shopping,54680.0,8.42,6494.06
THE SECRET FACTORY OUTLET,JL. L. L. R. E. MARTADINATAÂ  NO. 47,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
CARGO FACTORY OUTLET,JL. DIPONEGORO NO. 30,Cibeunying Kaler,tourism_shopping,70662.0,4.64,15228.88
ANAKECIL FACTORY OUTLET,JL. HAYAM WURUK NO. 32,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
HERITAGE THE FACTORY OUTLET,JL. L. L. R. E. MARTADINATA NO. 63-65,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
PASSION FACTORY OUTLET,JL. L. L. R. E. MARTADINATA NO. 36,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
EST FACTORY OUTLET,JL. SUMATERA NO. 28-30,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
DSE FACTORY OUTLET,JL. MERDEKA NO. 35,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
ADIDAS OUTLET STORE,JL. SOEKARNO HATTA NO. 57355,Batununggal,tourism_shopping,121469.0,4.82,25201.04
THE CROWN PREMIUM OUTLETS,JL. L. L. R. E. MARTADINATA NO. 51,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
ADIDAS OUTLET DAGO,JL. IR H. JUANDA NO. 123,Coblong,tourism_shopping,115273.0,7.31,15769.22
EIGER,JL. PELAJAR PEJUANG 45 NO. 112,Lengkong,tourism_shopping,71000.0,5.91,12013.54
EIGER ADVENTURE CIHAMPELAS,JL. CIHAMPELAS NO. 22,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
PEGASHOES,JL. KEMBANG SAPATU NO. 3,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
FO RIAU STOK MALL,JL. L. L. R. E. MARTADINATA NO. 160,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
EXPORT STATION,JL. SUMATERA NO. 24-30,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
FS BODYPACK EIGER STORE DAGO,JL. IR. H. JUANDA NO. 88,Coblong,tourism_shopping,115273.0,7.31,15769.22
CONSINA STORE BANDUNG,JL. LENGKONG BESAR NO. 79,Lengkong,tourism_shopping,71000.0,5.91,12013.54
ISTANA SEPATU,JL. DALEM KAUM NO. 25,Regol,tourism_shopping,80609.0,4.74,17006.12
ISTANA SEPATU MERDEKA,JL. MERDEKA NO. 23A,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
EIGER SUMATERA,JL. SUMATERA NO. 23,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
THE SAPARUA,JL. AMBON NO. 15,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
CASCADE FASHION HOUSE AND HOME LIVING,JL. L. L. R. E. MARTADINATA NO. 65,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
UNDER ARMOUR BANDUNG,JL. IR. H. JUANDA NO. 23,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
TERMINAL TAS,JL. L. L. R. E. MARTADINATA NO. 32,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
IBC JEANS & FACTORY OUTLET,JL. CIHAMPELAS NO. 114,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
DEARUMMANIS FACTORY OUTLET,JL. CIHAMPELAS NO. 144,Coblong,tourism_shopping,115273.0,7.31,15769.22
NIKE FACTORY STORE,JL. IR. H. JUANDA NO. 145,Coblong,tourism_shopping,115273.0,7.31,15769.22
EPISODE,JL. IR. H. JUANDA NO. 125,Coblong,tourism_shopping,115273.0,7.31,15769.22
MACADAMIA LITTLE GLAMZ,JL. BAHUREKSA NO.12,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
RABBANI KEMKO BUAH BATU,JL. BUAH BATU NO. 150,Lengkong,tourism_shopping,71000.0,5.91,12013.54
GANI FACTORY OUTLET,JL. A.H. NASUTION KM 10 NO. 6-8,Ujungberung,tourism_shopping,90562.0,6.24,14513.14
HOUSE OF DONATELLO,JL. IR. H. JUANDA NO. 104,Coblong,tourism_shopping,115273.0,7.31,15769.22
FACTORY OUTLET TOMKINS,JL. GEDEBAGE SELATAN NO. 95,Gedebage,tourism_shopping,42071.0,9.96,4224.0
HYPESTORE,JL. CIHAMPELAS NO. 178,Coblong,tourism_shopping,115273.0,7.31,15769.22
C29 FACTORY OUTLET,JL. CIGONDEWAH KIDUL NO. 29,Bandung Kulon,tourism_shopping,136622.0,6.95,19657.84
PUMA OUTLET,JL. IR. H. JUANDA NO. 119,Coblong,tourism_shopping,115273.0,7.31,15769.22
FACTORY OUTLET JBA,JL. TERUSAN KIPO KM. 13 NO. 367,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
DEMOSS WISATA BERBELANJA BUAH BATU,JL. BUAH BATU NO. 149,Lengkong,tourism_shopping,71000.0,5.91,12013.54
PERAHU JEANS FASHION OUTLET,JL. CIHAMPELAS,Coblong,tourism_shopping,115273.0,7.31,15769.22
MINIMAL RUMAH MODE,JL. DR. SETIABUDI NO. 41,Sukasari,tourism_shopping,77576.0,6.36,12197.48
GRANDE FACTORY OUTLET,JL. RAYA PAJAJARAN NO. 76,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
LEVEL,JL. H. JUANDA NO. 138,Coblong,tourism_shopping,115273.0,7.31,15769.22
RENARITTI,JL. L. L. R. E. MARTADINATA NO. 26,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
FO WARUNG GAUL,JL. CIHAMPELAS NO. 151,Coblong,tourism_shopping,115273.0,7.31,15769.22
SCH SULTAN AGUNG,JL. SULTAN AGUNG NO. 3,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
ADIDAS SURAPATI,JL. SURAPATI NO. 61,Coblong,tourism_shopping,115273.0,7.31,15769.22
VESSEL STORE,JL. TRUNOJOYO NO. 23,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
GUDANG GARMENT JL. JAKARTA,JL. JAKARTA NO.8,Batununggal,tourism_shopping,121469.0,4.82,25201.04
GUDANG GARMENT,JL. A.H. NASUTION NO. 76,Mandalajati,tourism_shopping,73956.0,4.8,15407.5
