id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama_rumah_makan,alamat,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,BREW & CHEW,JL. SUKABUMI NO.53,2020
2,32,JAWA BARAT,3273,KOTA BANDUNG,CAFE BALI,JL. L. L. R. E. MARTADINATA NO.211-215,2020
3,32,JAWA BARAT,3273,KOTA BANDUNG,ANJIS COFFEE,JL. BENGAWAN NO. 34,2020
4,32,JAWA BARAT,3273,KOTA BANDUNG,HEADKLIN BARBER & COFFEE HOUSE,JL. CIANJUR NO.12A,2020
5,32,JAWA BARAT,3273,KOTA BANDUNG,GARDEN COFFEE BDG,JL. BENGAWAN NO.7A,2020
6,32,JAWA BARAT,3273,KOTA BANDUNG,BERASA CAFE,JL JENDERAL AHMAD YANI NO.245,2020
7,32,JAWA BARAT,3273,KOTA BANDUNG,LULA BAKERY & COFFEE,JL. CITARUM NO.12,2020
8,32,JAWA BARAT,3273,KOTA BANDUNG,JARDIN CAFE,JL. CIMANUK NO.1A,2020
9,32,JAWA BARAT,3273,KOTA BANDUNG,4EAT CAFE,JL. PROGO NO.13A,2020
10,32,JAWA BARAT,3273,KOTA BANDUNG,ROGER'S CAFE & LOUNGE,JL . IR. H JUANDA NO.97,2020
11,32,JAWA BARAT,3273,KOTA BANDUNG,PLEASE PLEASE PLEASE CAFE AND RESTO,JL. PROGO NO.37,2020
12,32,JAWA BARAT,3273,KOTA BANDUNG,HONGER CAFE,JL. LOMBOK NO.47,2020
13,32,JAWA BARAT,3273,KOTA BANDUNG,LOY CAFE,JL. BANDA NO.31,2020
14,32,JAWA BARAT,3273,KOTA BANDUNG,FAREL PATISSERIE CAFE,JL. BANDA NO.30,2020
15,32,JAWA BARAT,3273,KOTA BANDUNG,KAHVE,JL AMBON NO.14,2020
16,32,JAWA BARAT,3273,KOTA BANDUNG,TAEUN COFFEE & WORKS,JL. L. L. R. E. MARTADINATA NO.50,2020
17,32,JAWA BARAT,3273,KOTA BANDUNG,2 GRAMS COFFEE AND MEALS,JL. AMBON NO.16,2020
18,32,JAWA BARAT,3273,KOTA BANDUNG,GIGGLEBOX CAFE AND RESTO,JL. PROGO NO.33A,2020
19,32,JAWA BARAT,3273,KOTA BANDUNG,KAKA CAFE,JL. SURTAN TIRTAYASA NO.49,2020
20,32,JAWA BARAT,3273,KOTA BANDUNG,PARIS VAN JAVA CAFE & RESTO SPECIALITY COFFEE,JL. AMBON NO. 11,2020
21,32,JAWA BARAT,3273,KOTA BANDUNG,CHAPLIN'S CAFE BAR AND SHISA,JL. DIPONEGORO N.26,2020
22,32,JAWA BARAT,3273,KOTA BANDUNG,HERITAGE CAFE,JL. L. L. R. E. MARTADINATA NO.61,2020
23,32,JAWA BARAT,3273,KOTA BANDUNG,FOURPLAY CAFE & RESTO & BAR,JL. CILAKI NO.65,2020
24,32,JAWA BARAT,3273,KOTA BANDUNG,BELLAMIE BOULANGERIE,JL. CIHAPIT NO.35,2020
25,32,JAWA BARAT,3273,KOTA BANDUNG,SYDWIC,JL. CILAKI NO.63,2020
26,32,JAWA BARAT,3273,KOTA BANDUNG,THE PANASDALAM,JL. AMBON NO.8A,2020
27,32,JAWA BARAT,3273,KOTA BANDUNG,PAPATONG CAFETERIA,JL. TAMAN CITARUM NO.15,2020
28,32,JAWA BARAT,3273,KOTA BANDUNG,BOBER CAFE,JL. L. L. R. E. MARTADINATA NO.123,2020
29,32,JAWA BARAT,3273,KOTA BANDUNG,BUTTERCUP BOULANGERIE,JL. IR. H. JUANDA NO.46,2020
30,32,JAWA BARAT,3273,KOTA BANDUNG,SEJIWA COFFEE,JL. PROGO NO.15,2020
31,32,JAWA BARAT,3273,KOTA BANDUNG,HUMMINGBIRD EATERY BANDUNG,JL. PROGO NO.14,2020
32,32,JAWA BARAT,3273,KOTA BANDUNG,ROAD CAFE,JL.CILAKI NO.41,2020
33,32,JAWA BARAT,3273,KOTA BANDUNG,SONOMA CAFE (SONOMA GOLD),JL. LOMBOK NO.29,2020
34,32,JAWA BARAT,3273,KOTA BANDUNG,EVERJOY COFEEE & CAFE - IVORY HOTEL BANDUNG,JL. BAHUREKSA NO.3,2020
35,32,JAWA BARAT,3273,KOTA BANDUNG,CAFE CISANGKUY,JL. CISANGKUY NO. 68-56,2020
36,32,JAWA BARAT,3273,KOTA BANDUNG,BUIH KOPI,JL. TRUNOJOYO NO. 40,2020
37,32,JAWA BARAT,3273,KOTA BANDUNG,GERM CAFE,JL. CILAKI NO.43,2020
38,32,JAWA BARAT,3273,KOTA BANDUNG,DENNY'S COFFEE & TEA,JL. TAMAN CIHAPIT NO.21A,2020
39,32,JAWA BARAT,3273,KOTA BANDUNG,EATERS.COM CAFE,JL. BENGAWAN NO. 82,2020
40,32,JAWA BARAT,3273,KOTA BANDUNG,HOUSE OF TJIHAPIT,JL. CIHAPIT NO.27,2020
41,32,JAWA BARAT,3273,KOTA BANDUNG,TREA CAFE,JL. TIKUKUR NO.36,2020
42,32,JAWA BARAT,3273,KOTA BANDUNG,PIETRO COFFEE,JL. TRUNOJOYO NO.11,2020
43,32,JAWA BARAT,3273,KOTA BANDUNG,INFINITO CULINARY X DISCONNECT,JL. H. WASID NO.11,2020
44,32,JAWA BARAT,3273,KOTA BANDUNG,FIFTEEN CAFE,JL. SUMATERA NO.15,2020
45,32,JAWA BARAT,3273,KOTA BANDUNG,LE BISTROT CAFE,JL. MERDEKA NO. 43,2020
46,32,JAWA BARAT,3273,KOTA BANDUNG,SEMENTARA COFFEE,JL. KEBON SIRIH NO.8,2020
47,32,JAWA BARAT,3273,KOTA BANDUNG,EQUATOR COFFEE AND GALLERY,JL. SULANJANA NO.32,2020
48,32,JAWA BARAT,3273,KOTA BANDUNG,MYLOC COFFEE & CAFE,JL. BRAGA NO.111,2020
49,32,JAWA BARAT,3273,KOTA BANDUNG,THE SHADOWS CAFE,JL. LINGGAWASTU NO. 11,2020
50,32,JAWA BARAT,3273,KOTA BANDUNG,RUMPOET MUSIC & CAFE,JL. BRAGA NO. 80,2020
51,32,JAWA BARAT,3273,KOTA BANDUNG,PAKARANGAN CAFE,JL. TERA NO28,2020
52,32,JAWA BARAT,3273,KOTA BANDUNG,NINETIES CAFE,JL. TEUKU UMAR NO.33A/60,2020
53,32,JAWA BARAT,3273,KOTA BANDUNG,SINIYU CAFE,JL. SOKA NO. 28,2020
54,32,JAWA BARAT,3273,KOTA BANDUNG,CAFE BELIMBING,JL. BELIMBING NO. 10,2020
55,32,JAWA BARAT,3273,KOTA BANDUNG,MUCHO COFFEE CAFE & RESTO,JL. ANGGREK NO. 42,2020
56,32,JAWA BARAT,3273,KOTA BANDUNG,CHINOOK CAFE AND RESTO,JL. L. L. R. E. MARTADINATA NO.191,2020
57,32,JAWA BARAT,3273,KOTA BANDUNG,CHINGU CAFE,JL. SAWUNGGALING NO.10,2020
58,32,JAWA BARAT,3273,KOTA BANDUNG,ZIE CAFE,JL. VAN DEVENTER NO.14,2020
59,32,JAWA BARAT,3273,KOTA BANDUNG,BRAGA ART CAFE,JL. BRAGA NO.68,2020
60,32,JAWA BARAT,3273,KOTA BANDUNG,DACOSTA,JL. SAWUNGGALING NO.13,2020
61,32,JAWA BARAT,3273,KOTA BANDUNG,CAFE PAOPA,JL. CIUNGWANARA NO.12A,2020
62,32,JAWA BARAT,3273,KOTA BANDUNG,LOVE UNIQORN CAFE,JL. BENGAWAN NO.33,2020
63,32,JAWA BARAT,3273,KOTA BANDUNG,VANDEL CAFE,JL. SULANJANA NO.30,2020
64,32,JAWA BARAT,3273,KOTA BANDUNG,88 GARAGE CAFE,JL. JENDERAL AHMADA YANI NO.260,2020
65,32,JAWA BARAT,3273,KOTA BANDUNG,KAMAIA CAFE,JL. SUPRATMAN NO.102,2020
66,32,JAWA BARAT,3273,KOTA BANDUNG,THE AIRPLANE CAFE,JL. ACEH NO.44,2020
67,32,JAWA BARAT,3273,KOTA BANDUNG,THE BANKTENDER CAFE,JL. CIKUTRA BARAT NO.81,2020
68,32,JAWA BARAT,3273,KOTA BANDUNG,SEVENTH DOSE CAFE,JL. DIPONEGORO NO. 6,2020
69,32,JAWA BARAT,3273,KOTA BANDUNG,DAGO YUI CAFE,JL. BADAK SINGA NO.2,2020
70,32,JAWA BARAT,3273,KOTA BANDUNG,TRENDS CAFE & RESTO,JL.PAHLAWAN NO.89,2020
71,32,JAWA BARAT,3273,KOTA BANDUNG,SUNDAY BOWL CEREAL CLUB,JL. KEMUNING NO.8,2020
72,32,JAWA BARAT,3273,KOTA BANDUNG,TIGA OUTDOOR CAFE,JL.HASANUDIN NO.10,2020
73,32,JAWA BARAT,3273,KOTA BANDUNG,SHAKIRA CAFE BANDUNG,JL. SURAPATI NO.187,2020
