kecamatan,nama_taman,luas
ANDIR,TAMAN BABATAN,18307.21
ANDIR,LAPANG ELANG,10306
ANDIR,JALUR SUDIRMAN,3158.02
ANDIR,JALUR GARUDA TIMUR,2968.13
ANDIR,JALUR GARUDA BARAT,2405
ANDIR,TAMAN CIMINDI,1557.21
ANDIR,JALUR ELANG,1395.67
ANDIR,TAMAN YAPLUN,1184.96
ANDIR,TPJ SUDIRMAN - RAJAWALI,825.54
ANDIR,BUNDERAN SUDIRMAN,735
ANDIR,TAMAN SUDUT RAJAWALI,666.35
ANDIR,TAMAN RAJAWALI/ARJUNA,376
ANDIR,TAMAN RW. BELAKANG KANTOR,210
ANDIR,TAMAN WARINGIN,198.1
ANDIR,BAK BUNGA ANDIR II,180
ANDIR,TAMAN RW. 09,130
ANDIR,TAMAN RW. 04,110
ANDIR,BAK BUNGA ANDIR I,104.99
ANTAPANI,TAMAN BOUGENVILLE,4746
ANTAPANI,TAMAN BATU TULIS,2614
ANTAPANI,TAMAN SUBANG BLOK 5,1826
ANTAPANI,TAMAN PURWAKARTA-KADIPATEN,1563
ANTAPANI,TAMAN LARANTUKA,1492
ANTAPANI,TAMAN KARANG ASEM,1438
ANTAPANI,TAMAN JATIWANGI,1256
ANTAPANI,TAMAN JAYAPURA,1104
ANTAPANI,TAMAN BATU WANGI-SINDANG KASIH,1098
ANTAPANI,TAMAN PURWOREJO,1010
ANTAPANI,TAMAN RENGASDENGLOK,988
ANTAPANI,TAMAN PEKALONGAN,969
ANTAPANI,TAMAN JALUR PRATISTA UTAMA,889
ANTAPANI,TAMAN KADIPATEN-CICALENGKA,887
ANTAPANI,TAMAN ATAMBUA,664
ANTAPANI,TAMAN CIKAMPEK,624
ANTAPANI,TAMAN SRAGEN-KLATEN,489
ANTAPANI,TAMAN TERUSAN JALAN JAKARTA,343
ANTAPANI,TAMAN KUNINGAN BLOK 20,252
ANTAPANI,TAMAN JATIWANGI BLOK 26,237
ANTAPANI,TAMAN KADIPATEN BLOK 12,237
ANTAPANI,TAMAN PRANAYA 2,170
ANTAPANI,TAMAN PRATISTA BARAT II,113
ANTAPANI,TAMAN BLOK D-39,104.32
ANTAPANI,TAMAN PRANAYA 1,89
ANTAPANI,TAMAN PRATISTA BARAT I,51
ANTAPANI,TAMAN GERBANG PRANAYA,49.23
ANTAPANI,TAMAN PRATISTA RAYA,34.89
ARCAMANIK,TAMAN LAPANGAN PACUAN KUDA,665000
ARCAMANIK,TAMAN SKI AIR,7139.78
ARCAMANIK,TAMAN TERBANG LAYANG I,1338
ARCAMANIK,TAMAN GOLF BARAT XIII,940
ARCAMANIK,TAMAN GOLF BARAT 2 A,839.91
ARCAMANIK,TAMAN AEROMODELING,816
ARCAMANIK,TAMAN ARCAMANIK III,810.05
ARCAMANIK,TAMAN ARCAMANIK II,740.33
ARCAMANIK,TAMAN BOWLING,732.12
ARCAMANIK,TAMAN ARCAMANIK IV,660
ARCAMANIK,TAMAN ARCAMANIK V,616
ARCAMANIK,TAMAN ARCAMANIK XVIII,599.61
ARCAMANIK,TAMAN HOCKY,442
ARCAMANIK,TAMAN ARCAMANIK VII,440.06
ARCAMANIK,TAMAN TAEKONDO-KEMPO,396
ARCAMANIK,TAMAN TENIS,390
ARCAMANIK,TAMAN TERBANG LAYANG II,375.46
