id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama_rumah_makan,alamat,tahun,kelurahan,kecamatan,latitude,longitude
6042,32,JAWA BARAT,3273,KOTA BANDUNG,KEDAI ASPOM,"3HX7+GPJ, BANDUNG, CAMPAKA, KEC. ANDIR, KOTA BANDUNG, JAWA
  BARAT 40184",2024,,,,
6043,32,JAWA BARAT,3273,KOTA BANDUNG,NATURAL TASTE,JL. SAPTA MARGA NO.72,2024,,,,
6044,32,JAWA BARAT,3273,KOTA BANDUNG,SOPYANWAHYU,"4H38+J9F, JL. BABAKAN CIANJUR",2024,,,,
6045,32,JAWA BARAT,3273,KOTA BANDUNG,WARUNG & CAFE IBU NN,4H28+J98,2024,,,,
6046,32,JAWA BARAT,3273,KOTA BANDUNG,EAT ME PLEASE,JL. RAYA CIBEUREUM GG. RH. JEJENG NO.140,2024,,,,
6047,32,JAWA BARAT,3273,KOTA BANDUNG,RESTO BAHEULA,"CAMPAKA, KEC. ANDIR, KOTA BANDUNG, JAWA BARAT 40175",2024,,,,
6048,32,JAWA BARAT,3273,KOTA BANDUNG,PUSAT PANCAKE SEDERHANA DI BANDUNG,"3HV9+PVV, JL. BABAKAN CIBEUREUM",2024,,,,
6049,32,JAWA BARAT,3273,KOTA BANDUNG,TOKO PANCAKE COKLAT BANDUNG,JL. BABAKAN CIBEUREUM,2024,,,,
6050,32,JAWA BARAT,3273,KOTA BANDUNG,SOEDIRMAN COFFEE & EATERY BY HEJO,JL. JEND. SUDIRMAN NO.346,2024,,,,
6051,32,JAWA BARAT,3273,KOTA BANDUNG,ROYAL PHO PASKAL 23,"PASKAL HYPER SQUARE, RUKO, JL. PASIR KALIKI NO.18 & 20
  RUKO BLOK N",2024,,,,
6052,32,JAWA BARAT,3273,KOTA BANDUNG,BANDUNG COFFEE BEER,JL. CIROYOM BAR. NO.34,2024,,,,
6053,32,JAWA BARAT,3273,KOTA BANDUNG,TERAS HAFID CREW,JL. RAJAWALI TIMUR JL. TARUNA NO.04,2024,,,,
6054,32,JAWA BARAT,3273,KOTA BANDUNG,GRILLNESIA,"PASKAL HYPER SQUARE, RUKO A, JL. PASIR KALIKI NO.21",2024,,,,
6055,32,JAWA BARAT,3273,KOTA BANDUNG,GRILL GARDEN,"PASKAL HYPER SQUARE, JL. PASIR KALIKI NO.23",2024,,,,
6056,32,JAWA BARAT,3273,KOTA BANDUNG,SEDUCE COFFEE,JL. KEBON JATI NO.254,2024,,,,
6057,32,JAWA BARAT,3273,KOTA BANDUNG,JUSTUS STEAK HOUSE • 23 PASKAL,"PASKAL SHOPPING CENTER, 23, JL. PASIR KALIKI NO.25-27 L3-14
  140T",2024,,,,
6058,32,JAWA BARAT,3273,KOTA BANDUNG,MAYSTAR RECIPE,"PASKAL SHOPPING MALL, JL. PASIR KALIKI NO.23",2024,,,,
6059,32,JAWA BARAT,3273,KOTA BANDUNG,SENTI RISTORANTE,JL. PASIR KALIKI NO.23,2024,,,,
6060,32,JAWA BARAT,3273,KOTA BANDUNG,SUJI - SUAN CAI YU | 23 PASKAL,"23 PASKAL HYPER SQUARE JL. PASIR KALIKI 25-27 LANTAI 2, UNIT
  73, 73 IT",2024,,,,
6061,32,JAWA BARAT,3273,KOTA BANDUNG,STEAMBOAT HOUSE,"JALAN PASIRKALIKI NO.25-27, PASKAL FOOD MARKET, KEBON JERUK,
  ANDIR",2024,,,,
6062,32,JAWA BARAT,3273,KOTA BANDUNG,OOTOYA,"PASKAL 23 LT. 2, JALAN PASIR KALIKI NO. 25- 27, KEBON JERUK,
  CICENDO ANDIR",2024,,,,
6063,32,JAWA BARAT,3273,KOTA BANDUNG,KHAP NOODLES,JL. PASIR KALIKI NO.23,2024,,,,
6064,32,JAWA BARAT,3273,KOTA BANDUNG,KOBE TEPANYAKI,"PASKAL HYPER SQUARE, 23, JL. PASIR KALIKI NO.25-27",2024,,,,
6065,32,JAWA BARAT,3273,KOTA BANDUNG,CHARM THAI,"RUKO PASKAL HYPERSQUARE BLOK A NO 11-12, JL. PASIR KALIKI
  NO.25-27",2024,,,,
6066,32,JAWA BARAT,3273,KOTA BANDUNG,SEOULJU KOREAN SNOW ICE,"PASKAL HYPER SQUARE 23, JL. KEBON JATI B-41",2024,,,,
6067,32,JAWA BARAT,3273,KOTA BANDUNG,CHICKEN PLUS PASKAL BANDUNG,"PASKAL HYPER SQUARE, BLOK B46 RUKO, JL. PASIR KALIKI NO.25-27",2024,,,,
6068,32,JAWA BARAT,3273,KOTA BANDUNG,KATSUTA KUIMONOYA,HYPER SQUARE B57,2024,,,,
6069,32,JAWA BARAT,3273,KOTA BANDUNG,DJOES KODE,RUKO PASKAL HYPER SQUARE BLOK F. 43,2024,,,,
6070,32,JAWA BARAT,3273,KOTA BANDUNG,THANG MIEN,"PASKAL HYPER SQUARE BLOK A.41-42, JL. PASIR KALIKI NO.25-27",2024,,,,
6071,32,JAWA BARAT,3273,KOTA BANDUNG,BELLE’S MUNCHIES,PASKAL LODGE BUILDING UNIT 8008 (PASKAL 23 AREA),2024,,,,
6072,32,JAWA BARAT,3273,KOTA BANDUNG,CHICK & CHICK,"JALAN PASIRKALIKI NO.25 - 27, PASKAL FOOD MARKET",2024,,,,
6073,32,JAWA BARAT,3273,KOTA BANDUNG,"ITAKOYAKI, CORNDOG, SOSTEL DAN BOBA",JL. RAJAWALI TIMUR NO.29,2024,Ciroyom,,-6.9153558,107.5842847
6074,32,JAWA BARAT,3273,KOTA BANDUNG,KARE CURRY HOUSE,"JALAN PASIRKALIKI, PASKAL HYPER SQUARE A29",2024,,,,
6075,32,JAWA BARAT,3273,KOTA BANDUNG,KARE EXPRESS,JL. KEBON JATI NO.212,2024,,,,
6076,32,JAWA BARAT,3273,KOTA BANDUNG,MEAT UP,"3HMW+RPC, CIROYOM, KEC. ANDIR, KOTA BANDUNG, JAWA BARAT 40181",2024,,,,
6077,32,JAWA BARAT,3273,KOTA BANDUNG,TJIANG,JL. KEBON JATI NO.120,2024,,,,
6078,32,JAWA BARAT,3273,KOTA BANDUNG,FUKU AKIBA,RUKO PASKAL 23 BLOK A NO. 45,2024,,,,
6079,32,JAWA BARAT,3273,KOTA BANDUNG,RAMEN BAJURI KEBON JATI,JL. KEBON JATI NO.254B,2024,,,,
6080,32,JAWA BARAT,3273,KOTA BANDUNG,MILK N CRUMBS,"RUKO, PASKAL HYPER SQUARE, BLK. F NO.40",2024,,,,
6081,32,JAWA BARAT,3273,KOTA BANDUNG,BISOU PATISSERIE - 23 PASKAL,"23 PASKAL 2ND FLOOR L2-ISO34C, JL. PASIR KALIKI",2024,,,,
6082,32,JAWA BARAT,3273,KOTA BANDUNG,CHÂTERAISÉ 23 PASKAL,JL. PASIR KALIKI NO.25-27,2024,,,,
6083,32,JAWA BARAT,3273,KOTA BANDUNG,BAKER NOI,"PASKAL HYPER SQUARE, JL. PASIR KALIKI NO.25-27 BLOK B-41",2024,,,,
6084,32,JAWA BARAT,3273,KOTA BANDUNG,IMPERIAL KITCHEN & DIM SUM,"23 PASKAL, CIROYOM, KEC. ANDIR, KOTA BANDUNG, JAWA BARAT 40181",2024,,,,
6085,32,JAWA BARAT,3273,KOTA BANDUNG,CHIPSMEATS - FIRST HALAL SNACK PACK IN TOWN,"PASKAL HYPER SQUARE, JL. PASIR KALIKI NO 25-27 BLOK C NO. 27",2024,,,,
6086,32,JAWA BARAT,3273,KOTA BANDUNG,KEDAI BAR-BAR,JL. ANDIR NO.138,2024,,,,
6087,32,JAWA BARAT,3273,KOTA BANDUNG,DOMINO'S PIZZA,"JL. JEND. SUDIRMAN NO.588, RT.006/RW.004",2024,,,,
6088,32,JAWA BARAT,3273,KOTA BANDUNG,NOAH'S BARN COFFEENERY,JL. GARUDA NO.39,2024,Garuda,,-6.9161223,107.5765008
6089,32,JAWA BARAT,3273,KOTA BANDUNG,CHICK'N STORE FRIED CHICKEN,JL. ANDIR NO.32,2024,,,-6.9061443,107.5713317
6090,32,JAWA BARAT,3273,KOTA BANDUNG,RUMAH MAKAN LING CHICK,JL. GARUDA NO.57C,2024,,,,
6091,32,JAWA BARAT,3273,KOTA BANDUNG,KEDAI TEH LIA (BURGER),"JL. HALTEU UTARA NO.69, RT.03/RW.01",2024,,,,
6092,32,JAWA BARAT,3273,KOTA BANDUNG,ICHIGO DAIFUKU BETSUBARA,JL. HALTEU UTARA NO.1,2024,,,,
6093,32,JAWA BARAT,3273,KOTA BANDUNG,SECA SEMI CAFE,JL. JEND. SUDIRMAN NO.574,2024,,,,
6094,32,JAWA BARAT,3273,KOTA BANDUNG,PERSONA FOLKS,JL. JEND. SUDIRMAN NO.588,2024,,,,
6095,32,JAWA BARAT,3273,KOTA BANDUNG,DIMSUM NINJA,JL. GARUDA NO.115,2024,,,,
6096,32,JAWA BARAT,3273,KOTA BANDUNG,FAMILIA BY EL PASO,"1 - SHOP, JALAN JEND. SUDIRMAN NO. 588 SUDIRMAN SUITES
  APARTMENT, COMMERCIAL AREA LT, 6",2024,,,,
6097,32,JAWA BARAT,3273,KOTA BANDUNG,WARUNG MAKAN FAMILY,"3HRH+9WP, JL. HALTEU UTARA",2024,,,,
6098,32,JAWA BARAT,3273,KOTA BANDUNG,WARUNG HAJI GENDUT,"JALAN DUNGUSCARIANG GANG BAPAK UKID 51C/77, RT.01/RW.05",2024,,,,
6099,32,JAWA BARAT,3273,KOTA BANDUNG,VEGETARIAN HOUSE CATERING,JL. PELIKAN NO.39,2024,Garuda,,-6.9100121,107.574892
6100,32,JAWA BARAT,3273,KOTA BANDUNG,CATERING NY SOEWARDONO (SW),JL. RAJAWALI 3 NO.7,2024,,,,
6101,32,JAWA BARAT,3273,KOTA BANDUNG,V-REL COFFEE & EATERY,JL. MALEBER UTARA NO.148,2024,,,,
6102,32,JAWA BARAT,3273,KOTA BANDUNG,KOPI TARAKSA,JL. ELANG NO.01,2024,Garuda,,-6.9157912,107.5760539
6103,32,JAWA BARAT,3273,KOTA BANDUNG,HAP SENG KEE FOOD MARKET,JL. GARUDA NO.29,2024,Garuda,,-6.9161223,107.5765008
6104,32,JAWA BARAT,3273,KOTA BANDUNG,DAPURATU,JL. MALEBER UTARA JL. TUNDUNGSARI,2024,,,,
6105,32,JAWA BARAT,3273,KOTA BANDUNG,K-DOGG,JL. GARUDA NO.66,2024,Garuda,,-6.9161223,107.5765008
6106,32,JAWA BARAT,3273,KOTA BANDUNG,DAILYBOX KITCHEN HUB BANDUNG,JL. GARUDA NO.66,2024,Garuda,,-6.9161223,107.5765008
6107,32,JAWA BARAT,3273,KOTA BANDUNG,FRIED CHICKEN AULA,"3HVH+34V, JL. MALEBER UTARA",2024,,,,
