id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama_rumah_makan,alamat,tahun,kecamatan,kecamatan_clean
8991,32,JAWA BARAT,3273,KOTA BANDUNG,TESTING SEDANG BELAJAR,"3JJ9+GF2, KAMPUNG LEGOK CIPAMACAN",2024,Tidak Ditemukan,Tidak Ditemukan
8994,32,JAWA BARAT,3273,KOTA BANDUNG,MAT BAKSO,3JJ9+CRJ,2024,Tidak Ditemukan,Tidak Ditemukan
8832,32,JAWA BARAT,3273,KOTA BANDUNG,CATERING DIET SEHAT BDG (JUSICACIOUS),"3JQ6+RX2, JL. SUMATERA",2024,Tidak Ditemukan,Tidak Ditemukan
8401,32,JAWA BARAT,3273,KOTA BANDUNG,CHICKEN RACING,"3JF4+MP8, JL. KAUTAMAAN ISTRI",2024,Tidak Ditemukan,Tidak Ditemukan
8024,32,JAWA BARAT,3273,KOTA BANDUNG,MAEBDA KOREAN FOOD,CLUSTER CRYSTAL COMMERCIAL NO.26,2024,Tidak Ditemukan,Tidak Ditemukan
8026,32,JAWA BARAT,3273,KOTA BANDUNG,"DAPUR VANI : KATERING SEKOLAH | COLD THAI MILKBUN | AI NAMA
  CHOCOLATE JEPANG | HAWWA COOKIES | KURSUS ONLINE BISNIS KULINER",KOMPLEK BUMI ADIPURA CLUSTER CEMPAKA JALAN CEMPAKA 5 A NOMOR 1,2024,Tidak Ditemukan,Tidak Ditemukan
8010,32,JAWA BARAT,3273,KOTA BANDUNG,CAFETARIA COFFEE,"3P74+52Q KAMPUS UIN 2, JL. SOEKARNO HATTA",2024,Tidak Ditemukan,Tidak Ditemukan
7390,32,JAWA BARAT,3273,KOTA BANDUNG,SPESIALIS KAMBING GULING BARU GEDE & BARBEQUE KANG ASEP,"JL. PASIR LAYUNG ATAS NO.218 B, RT.003 / 001",2024,Tidak Ditemukan,Tidak Ditemukan
7208,32,JAWA BARAT,3273,KOTA BANDUNG,WP BOYS,"2MRC+G52, JL. TIRTASARI I",2024,Tidak Ditemukan,Tidak Ditemukan
7061,32,JAWA BARAT,3273,KOTA BANDUNG,MIE & CHINESE FOOD MAKMUR,"3HHP+4JQ, JL. PAGARSIH",2024,Tidak Ditemukan,Tidak Ditemukan
7026,32,JAWA BARAT,3273,KOTA BANDUNG,BRIYANIBANDUNG,"3JGG+GRQ, JL. KAREES SAPURAN",2024,Tidak Ditemukan,Tidak Ditemukan
6387,32,JAWA BARAT,3273,KOTA BANDUNG,PABRIK DIM SUM/DIMSUM JUST EAT,KOMP. CIBOLERANG BLOK C NO.15 RT 4 RW 4 KEL,2024,Tidak Ditemukan,Tidak Ditemukan
6370,32,JAWA BARAT,3273,KOTA BANDUNG,CHIKEN BOOT,"3H6M+25X, JL. BABAKAN CIPARAY",2024,Tidak Ditemukan,Tidak Ditemukan
9108,32,JAWA BARAT,3273,KOTA BANDUNG,CORNDOG STATION,"3PQ3+327, JL. CIGENDING",2024,Tidak Ditemukan,Tidak Ditemukan
5724,32,JAWA BARAT,3273,KOTA BANDUNG,SATE KAMBING MUDA & GULE KAMBING,"3JXG+CQR, JL. SUPRATMAN, CIHAUR GEULIS, KEC.
  CIBEUNYING KALER, KOTA BANDUNG, JAWA BARAT 66274",2023,Tidak Ditemukan,Tidak Ditemukan
5452,32,JAWA BARAT,3273,KOTA BANDUNG,NASI GORENG SIMBOKE,"JL RAYA SAAR, KB. PISANG, KEC. SUMUR BANDUNG, KOTA
  BANDUNG, JAWA BARAT 40567",2023,Tidak Ditemukan,Tidak Ditemukan
5442,32,JAWA BARAT,3273,KOTA BANDUNG,NASI GORENG PORTAL GG,"GOR CITRA ARENA, JL. CIKUTRA SEBRANG MASJID
  BAITUNNUR NO.201 SAMPING, NEGLASARI, KEC. CIBEUNYING KALER, KOTA BANDUNG,
  JAWA BARAT 40124",2023,Tidak Ditemukan,Tidak Ditemukan
5208,32,JAWA BARAT,3273,KOTA BANDUNG,"JAYA BROTHER - RUMAH MAKAN MM BANDUNG (AYAM GEPREK)
  - ROINSOLLES","4J2J+8CQ, JL. SURAPATI, CIHAUR GEULIS, KEC.
  CIBEUNYING KALER, KOTA BANDUNG, JAWA BARAT 40122",2023,Tidak Ditemukan,Tidak Ditemukan
4372,32,JAWA BARAT,3273,KOTA BANDUNG,LITTLE BANDUNG CAFE,"3JR5+4CR, JL. WASTUKENCANA, BABAKAN CIAMIS, KEC.
  SUMUR BANDUNG, KOTA BANDUNG, JAWA BARAT 40117",2023,Tidak Ditemukan,Tidak Ditemukan
4779,32,JAWA BARAT,3273,KOTA BANDUNG,AYAM GORENG MANG KOSIM,"3JV9+JQX, LLRE MARTADINATA ST, CITARUM, BANDUNG
  WETAN, BANDUNG CITY, WEST JAVA 40115",2023,Tidak Ditemukan,Tidak Ditemukan
4770,32,JAWA BARAT,3273,KOTA BANDUNG,AYAM GORENG KALASAN,"3JM9+58G, JL. SUNDA, KB. PISANG, KEC. SUMUR
  BANDUNG, KOTA BANDUNG, JAWA BARAT 40112",2023,Tidak Ditemukan,Tidak Ditemukan
1297,32,JAWA BARAT,3273,KOTA BANDUNG,RICH COFFEE,JL. TAMAN KOPO INDAH III RUKO D NO. 4,2020,Tidak Ditemukan,Tidak Ditemukan
