id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama_rumah_makan,alamat,tahun,kecamatan,kecamatan_clean
9073,32,JAWA BARAT,3273,KOTA BANDUNG,KEDAI BOCI BANDUNG,"JALAN ACEH NO.66, BANDUNG WETAN",2024,Sumurbandung,Sumurbandung
9008,32,JAWA BARAT,3273,KOTA BANDUNG,RICEE CHICKEN ADR,SUMUR BANDUNG KEBON PISANG,2024,Sumurbandung,Sumurbandung
8990,32,JAWA BARAT,3273,KOTA BANDUNG,MIE BASO RASA SUGEMA,3JJC+R9R,2024,Sumurbandung,Sumurbandung
8977,32,JAWA BARAT,3273,KOTA BANDUNG,NASI GORENG JAMBALAYA,3JM9+3RV,2024,Sumurbandung,Sumurbandung
8942,32,JAWA BARAT,3273,KOTA BANDUNG,HUTANIKA,JL. ASIA AFRIKA NO.91-97,2024,Sumurbandung,Sumurbandung
8944,32,JAWA BARAT,3273,KOTA BANDUNG,MEHRAM DEWASI,3JM9+2M3,2024,Sumurbandung,Sumurbandung
8948,32,JAWA BARAT,3273,KOTA BANDUNG,FUMIEN NOODLE AND DUMPLING,SUMUR BANDUNG KEBON PISANG,2024,Sumurbandung,Sumurbandung
8949,32,JAWA BARAT,3273,KOTA BANDUNG,MAKANAN KHAS,3JM9+2M3,2024,Sumurbandung,Sumurbandung
8928,32,JAWA BARAT,3273,KOTA BANDUNG,BODAS BISTRO & BAR,"JL. ASIA AFRIKA.91-97, KB. PISANG, KEC. SUMUR BANDUNG, KOTA
  BANDUNG, JAWA BARAT 40261BANDUNG",2024,Sumurbandung,Sumurbandung
8918,32,JAWA BARAT,3273,KOTA BANDUNG,مطعم عربي,3JM9+2J7,2024,Sumurbandung,Sumurbandung
8861,32,JAWA BARAT,3273,KOTA BANDUNG,DR. RIBS BARBEQUE,"GF BRAGA CITY WALK, JL. BRAGA, NO. 99-101, BRAGA, SUMUR
  BANDUNG, 40111 BANDUNG, INDONESIA",2024,Sumurbandung,Sumurbandung
8845,32,JAWA BARAT,3273,KOTA BANDUNG,IMPERIAL CHINESE RESTAURANT,"LANDMARK, JL. BRAGA NO.129",2024,Sumurbandung,Sumurbandung
8826,32,JAWA BARAT,3273,KOTA BANDUNG,BUBUR AKIONG,SUMUR BANDUNG BABAKAN CIAMIS,2024,Sumurbandung,Sumurbandung
8839,32,JAWA BARAT,3273,KOTA BANDUNG,FIESTA,JL. MERDEKA NO.56 UNIT 89,2024,Sumurbandung,Sumurbandung
8776,32,JAWA BARAT,3273,KOTA BANDUNG,KKOKIYO AUTHENTIC KOREAN CHICKEN [SURYASETRA],"KOMPLEK SURYA SETRA NO.C-2, SARIJADI, KEC. SUKASARI",2024,Barat,Barat
8763,32,JAWA BARAT,3273,KOTA BANDUNG,SEGO BURGER,BLOK. 26 NO. 18A,2024,Novi Beograd,Novi Beograd
8689,32,JAWA BARAT,3273,KOTA BANDUNG,RAMEN 38 SANPACHI MAYFAIR,"MAYFAIR, JL. SUKAJADI NO.228 LT.1",2024,Bandung Utara,Bandung Utara
8678,32,JAWA BARAT,3273,KOTA BANDUNG,KFC,"JL. SURYA SUMANTRI NO.62, RT.001/RW.05",2024,Bandung Barat,Bandung Barat
8257,32,JAWA BARAT,3273,KOTA BANDUNG,MASAKAN MA'YEN,JL. CANDRAWULAN III NO.3,2024,Jawa Barat,Jawa Barat
7958,32,JAWA BARAT,3273,KOTA BANDUNG,CHICKEN WINGS DMJ,JL. KEBUN BINATANG NO.161/56,2024,Coblong bandung,Coblong Bandung
7913,32,JAWA BARAT,3273,KOTA BANDUNG,MÉLANGER LES SPACE,JL. H. WASID NO.5,2024,taman penatayudha,Taman Penatayudha
7624,32,JAWA BARAT,3273,KOTA BANDUNG,SOULA.LEUIT,JL.RANCABENTANG NO.46,2024,Kecamatan Cimahi Selatan,Cimahi Selatan
7599,32,JAWA BARAT,3273,KOTA BANDUNG,WAROENG GAYA,"BUDI HOUSE FOOD STATION, JL. BUDI NO.27/29",2024,Kecamatan Cimahi Utara,Cimahi Utara
7326,32,JAWA BARAT,3273,KOTA BANDUNG,KOPIGRAPH.ID,"RUKO PME, JL. SUKALUYU NO.235A NO.14",2024,Kecamatan Margahayu,Margahayu
7299,32,JAWA BARAT,3273,KOTA BANDUNG,NAID MOCKTAIL BAR,"JL. PAHLAWAN.70, BLOK A2 - 4",2024,Pasar Kreatif,Pasar Kreatif
7248,32,JAWA BARAT,3273,KOTA BANDUNG,ROTI DINGIN CIGADUNG,JL. CIGADUNG RAYA BARAT NO.25A,2024,Taman Sari,Taman Sari
7119,32,JAWA BARAT,3273,KOTA BANDUNG,TOPOKKI OPPA HYUNG CIBADUYUT,"KOMPLEK KOTA BARU, JL. RAFLESIA NO.306",2024,Kecamatan Dayeuhkolot,Dayeuhkolot
7100,32,JAWA BARAT,3273,KOTA BANDUNG,KEDAI JUICE & TEPPANYAKI,"3HFP+3FW, JL. PETA",2024,Bandung,Bandung
6969,32,JAWA BARAT,3273,KOTA BANDUNG,TEPPANYAKI,JL. GATOT SUBROTO NO.289,2024,Kecamatan Bandung,Bandung
6496,32,JAWA BARAT,3273,KOTA BANDUNG,POMPIDOU SWEET & SAVOURY,JL. CILIWUNG NO.14,2024,Bandung,Bandung
6329,32,JAWA BARAT,3273,KOTA BANDUNG,OTTOMAN KEBAB BANDUNG,ASTANA ANYAR CIBADAK,2024,Night cullinary,Night Cullinary
6221,32,JAWA BARAT,3273,KOTA BANDUNG,SATAY RESTAURANT - PAK GINO,"JL. ANTAPANI NO. 8 B, ANTAPANI KULON, ANTAPANI",2024,Bandung,Bandung
6209,32,JAWA BARAT,3273,KOTA BANDUNG,DIBA CATERING - BANDUNG,"3MG6+WGX, JL. SEMARANG",2024,Bandung,Bandung
6117,32,JAWA BARAT,3273,KOTA BANDUNG,THE LINE ASIA,"RUKO PASKAL HYPER SQUARE BLOK B 7, JL. PASIRKALIKI, NO. 25-27,
  KEBON JERUK ANDIR",2024,Bandung,Bandung
6098,32,JAWA BARAT,3273,KOTA BANDUNG,WARUNG HAJI GENDUT,"JALAN DUNGUSCARIANG GANG BAPAK UKID 51C/77, RT.01/RW.05",2024,Bandung,Bandung
5116,32,JAWA BARAT,3273,KOTA BANDUNG,GANG NIKMAT,"JL. CIHAPIT GG. MASJID NO.6, CIHAPIT, ISTIQAMAH,
  KOTA BANDUNG, JAWA BARAT 40113",2023,Istiqamah,Istiqamah
5865,32,JAWA BARAT,3273,KOTA BANDUNG,TRIO JAYA RUMAH MAKAN PADANG,"JL. BELITUNG NO.1, MERDEKA, BANDUNG, KOTA BANDUNG,
  JAWA BARAT 40113",2023,Bandung,Bandung
5698,32,JAWA BARAT,3273,KOTA BANDUNG,SATE AYU,"3JP4+R3Q, BABAKANCIAMIS, SUMURBANDUNG, BANDUNG
  CITY, WEST JAVA 40117",2023,Sumurbandung,Sumurbandung
5489,32,JAWA BARAT,3273,KOTA BANDUNG,PESTA SEAFOOD RESTO,"GF , YOGYA SUNDA , JL. SUNDA, KEBON PISANG , 56-62
  , SUMUR BANDUNG , 40112 BANDUNG , JAWA BARAT, KEBON PISANG, SUMURBANDUNG,
  BANDUNG CITY, WEST JAVA 40112",2023,Sumurbandung,Sumurbandung
5462,32,JAWA BARAT,3273,KOTA BANDUNG,NASI TIMBEL DAN AYAM GORENG MIRASA,"3JP5+J4G, BABAKANCIAMIS, SUMURBANDUNG, BANDUNG
  CITY, WEST JAVA 40117",2023,Sumurbandung,Sumurbandung
5371,32,JAWA BARAT,3273,KOTA BANDUNG,NASI GORENG ASIA AFRIKA KM 0 BDG,"3JH6+C86, JL. ASIA AFRIKA, CIKAWAO, 0KM, KOTA
  BANDUNG, JAWA BARAT 40261",2023,0km,0Km
5349,32,JAWA BARAT,3273,KOTA BANDUNG,NASI BEBEK GORENG KHAS MADURA,"JL. TERUSAN PASIRKOJA NO.DEPAN, HADIID, BABAKAN
  TAROGONG BOJONGLOA KALER, KOTA BANDUNG, JAWA BARAT 40232",2023,Babakan Tarogong Bojongloa Kaler,Babakan Tarogong Bojongloa Kaler
5144,32,JAWA BARAT,3273,KOTA BANDUNG,GORENG AYAM KAMPUNG & PEJANTAN SAWARGI,"SAMPING BANK MANDIRI, JL. WAAS, BATUNUNGGAL, INDAH,
  KOTA BANDUNG, JAWA BARAT 40266",2023,indah,Indah
4045,32,JAWA BARAT,3273,KOTA BANDUNG,BUDE'S CAFE,"3JR9+325, JL. BANDA, MERDEKA, BANDUNG, KOTA
  BANDUNG, JAWA BARAT 40113",2023,Bandung,Bandung
4083,32,JAWA BARAT,3273,KOTA BANDUNG,CONTRAST COFFEE,"JL. ANGGREK NO.6, CIHAPIT, KEC. BANDUNG WETAN, KOTA
  BANDUNG, JAWA BARAT 40114",2023,Kecamatan Pringsewu,Pringsewu
4401,32,JAWA BARAT,3273,KOTA BANDUNG,MÉLANGER LES SPACES,"JL. H. WASID NO.5, LEBAKGEDE, TAMAN PENATAYUDHA,
  KOTA BANDUNG, JAWA BARAT 40132",2023,taman penatayudha,Taman Penatayudha
4710,32,JAWA BARAT,3273,KOTA BANDUNG,AYAM BAKAR LIES SARI,"PUJASERA MERDEKA, JL. PURNAWARMAN BLK. D3 NO.10-12
  LANTAI 2, BABAKAN CIAMIS, KEC. SUMUR BANDUNG, KOTA BANDUNG, JAWA BARAT 40117",2023,Sumurbandung,Sumurbandung
4919,32,JAWA BARAT,3273,KOTA BANDUNG,BASO GORENG FENYEN KOPO BANDUNG,"MARGAHAYU TENGAH, KEC. MARGAHAYU, KOTA BANDUNG,
  JAWA BARAT 40225",2023,Kecamatan Margahayu,Margahayu
4920,32,JAWA BARAT,3273,KOTA BANDUNG,BASO KIKIL SUKAHATI,"3JPM+JWJ, JL. A. YANI, KACAPIRING, BANDUNG, KOTA
  BANDUNG, JAWA BARAT 40121",2023,Bandung,Bandung
5068,32,JAWA BARAT,3273,KOTA BANDUNG,D'JENGKOL,"3JM9+2M3, KEBON PISANG, SUMURBANDUNG, BANDUNG CITY,
  WEST JAVA 40112",2023,Sumurbandung,Sumurbandung
5124,32,JAWA BARAT,3273,KOTA BANDUNG,GIGGLE BOX CIWALK,"UNIT SG, JL. CIHAMPELAS JL. CIHAMPELAS WALK NO.160,
  BANDU, CIPAGANTI, COBLONG, KOTA, KOTA BANDUNG, JAWA BARAT 40131",2023,"Coblong, Kota","Coblong, Kota"
5136,32,JAWA BARAT,3273,KOTA BANDUNG,GOKANA BANDUNG INDAH PLAZA,"BANDUNG INDAH PLAZA, JL. MERDEKA NO.56,
  BABAKANCIAMIS, SUMURBANDUNG, BANDUNG CITY, WEST JAVA 40117",2023,Sumurbandung,Sumurbandung
3957,32,JAWA BARAT,3273,KOTA BANDUNG,ROEMAH KOPI,"JALAN RANCAKENDAL LUHUR NO.7 - CIBURIAL -
  CIBEUNYING KALER - CIBURIAL - KEC. CIMENYAN - KOTA BANDUNG - JAWA BARAT 40197",2022,Kecamatan Cimenyan,Cimenyan
3730,32,JAWA BARAT,3273,KOTA BANDUNG,KOPI AENK!,"JL. CIGADUNG RAYA TIMUR NO.24 - CIBEUNYING - KEC.
  CIMENYAN - KOTA BANDUNG - JAWA BARAT 40191",2022,Kecamatan Cimenyan,Cimenyan
3516,32,JAWA BARAT,3273,KOTA BANDUNG,WARUNG KOPI CIKO-V,"JL. PASIRJATI ELOK NO.25 - JATIENDAH - KEC.
  CILENGKRANG - KOTA BANDUNG - JAWA BARAT 40619",2022,Kecamatan Cilengkrang,Cilengkrang
3446,32,JAWA BARAT,3273,KOTA BANDUNG,M ELANGER LES SPACES,"JL. H. WASID NO.5 - LEBAKGEDE - TAMAN PENATAYUDHA -
  KOTA BANDUNG - JAWA BARAT 40132",2022,taman penatayudha,Taman Penatayudha
2879,32,JAWA BARAT,3273,KOTA BANDUNG,CAFE DPAKAR,"JALAN DAGO PAKAR UTARA SEKEJOLANG - CIBURIAL -
  BANDUNG - JAWA BARAT - 40198",2022,Bandung,Bandung
2386,32,JAWA BARAT,3273,KOTA BANDUNG,LARUT MALAM KOPI,JL. BOJONG KONENG NO. 64,2021,Kecamatan Cimenyan,Cimenyan
